run_id,display_rank,weighting,block_name,assignment_source,cluster_id,cluster_size,coherent_by_rule,n_significant_terms_q05,min_q_value,top_term,top_go_id,quickgo_top_term,top_term_prevalence_delta,representative_genes,representative_gene_proteins,local_top_terms,local_top_go_ids,representative_gene_annotations
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,binary,adaptive_common_mode_01,accepted_tbs,66,2,False,0,0.148993288590604,Sema4D Induced Cell Migration and Growth-Cone Collapse,,Sema4D Induced Cell Migration and Growth-Cone Collapse,1.0,KIT;OVCA2,KIT [P10721] Mast/stem cell growth factor receptor Kit;OVCA2 [Q8WZ82] Esterase OVCA2,Sema4D Induced Cell Migration and Growth-Cone Collapse;RHO GTPases Activate ROCKs;RHO GTPases Activate PAKs;Signaling by BMP,,KIT: Sema4D Induced Cell Migration and Growth-Cone Collapse; RHO GTPases Activate ROCKs; RHO GTPases Activate PAKs | OVCA2: Sema4D Induced Cell Migration and Growth-Cone Collapse; RHO GTPases Activate ROCKs; RHO GTPases Activate PAKs
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,binary,adaptive_common_mode_01,accepted_tbs,61,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,O2 CO2 Exchange in Erythrocytes,1.0,PDS5B,PDS5B [Q9NTI5] Sister chromatid cohesion protein PDS5 homolog B,O2 CO2 Exchange in Erythrocytes;Erythrocytes Take up Carbon Dioxide and Release Oxygen;Erythrocytes Take up Oxygen and Release Carbon Dioxide;heme Metabolism,,PDS5B: O2 CO2 Exchange in Erythrocytes; Erythrocytes Take up Carbon Dioxide and Release Oxygen; Erythrocytes Take up Oxygen and Release Carbon Dioxide
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,binary,adaptive_common_mode_01,accepted_tbs,80,1,False,0,0.6727272727272726,VLDLR Internalisation and Degradation,,VLDLR Internalisation and Degradation,0.9932885906040269,RYBP,RYBP [Q8N488] RING1 and YY1-binding protein,Regulation of Apoptosis;Diseases of Hemostasis;Defective Factor IX Causes Hemophilia B;Ubiquitin-dependent Degradation of Cyclin D,,RYBP: Regulation of Apoptosis; Diseases of Hemostasis; Defective Factor IX Causes Hemophilia B
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,binary,adaptive_common_mode_01,accepted_tbs,23,2,False,0,0.148993288590604,Formation of Annular Gap Junctions,,Formation of Annular Gap Junctions,0.9932432432432432,STAG3;SMC3,STAG3 [Q9UJ98] Cohesin subunit SA-3;SMC3 [Q9UQE7] Structural maintenance of chromosomes protein 3,Formation of Annular Gap Junctions;Gap Junction Degradation;Diseases of Mismatch Repair (MMR);Glycine Degradation,,STAG3: Formation of Annular Gap Junctions; Gap Junction Degradation; Diseases of Mismatch Repair (MMR) | SMC3: Formation of Annular Gap Junctions; Gap Junction Degradation; Diseases of Mismatch Repair (MMR)
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,binary,adaptive_common_mode_01,accepted_tbs,58,2,False,0,0.446979865771812,Insulin Processing,,Insulin Processing,0.9864864864864864,RGPD2;STAG1,RGPD2 [P0DJD1] RANBP2-like and GRIP domain-containing protein 2;STAG1 [Q969W9] Protein TMEPAI,Insulin Processing;VxPx Cargo-Targeting to Cilium;Resolution of Sister Chromatid Cohesion;Mitotic Metaphase and Anaphase,,RGPD2: Insulin Processing; VxPx Cargo-Targeting to Cilium; Resolution of Sister Chromatid Cohesion | STAG1: Insulin Processing; VxPx Cargo-Targeting to Cilium; Resolution of Sister Chromatid Cohesion
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,binary,adaptive_common_mode_01,accepted_tbs,102,2,False,0,0.446979865771812,Deadenylation-dependent mRNA Decay,,Deadenylation-dependent mRNA Decay,0.9864864864864864,NUP214;QPRT,NUP214 [P35658] Nuclear pore complex protein Nup214;QPRT [Q15274] Nicotinate-nucleotide pyrophosphorylase [carboxylating],Deadenylation of mRNA;Deadenylation-dependent mRNA Decay;Transport of the SLBP Dependant Mature mRNA;Transport of the SLBP Independent Mature mRNA,,NUP214: Deadenylation of mRNA; Deadenylation-dependent mRNA Decay; Transport of the SLBP Dependant Mature mRNA | QPRT: Deadenylation of mRNA; Deadenylation-dependent mRNA Decay; Transport of the SLBP Dependant Mature mRNA
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,binary,adaptive_common_mode_01,accepted_tbs,5,1,False,0,0.9154639175257732,ERKs Are Inactivated,,ERKs Are Inactivated,0.9463087248322148,PML,PML [P29590] Protein PML,Somitogenesis;RHO GTPases Activate NADPH Oxidases;CASP8 Activity Is Inhibited;FasL CD95L Signaling,,PML: Somitogenesis; RHO GTPases Activate NADPH Oxidases; CASP8 Activity Is Inhibited
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,binary,adaptive_common_mode_01,accepted_tbs,7,1,False,0,0.8358433734939759,ERKs Are Inactivated,,ERKs Are Inactivated,0.9463087248322148,CDK1,CDK1 [P06493] Cyclin-dependent kinase 1,Regulation of Gene Expression in Beta Cells;TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway;RHOBTB3 ATPase Cycle;Depolymerization of the Nuclear Lamina,,CDK1: Regulation of Gene Expression in Beta Cells; TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway; RHOBTB3 ATPase Cycle
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1,binary,adaptive_modes_02_05,accepted_tbs,0,21,True,383,5.2903756002584185e-24,IGF1R Signaling Cascade,,IGF1R Signaling Cascade,1.0,CBL;TEC;SOCS1;BRAF;KIT;GRB10;GPR31;KRAS;PTPN11;OVCA2,"CBL [P22681] E3 ubiquitin-protein ligase CBL;TEC [Q92570] Nuclear receptor subfamily 4 group A member 3;SOCS1 [O15524] Suppressor of cytokine signaling 1;BRAF [P15056] Serine/threonine-protein kinase B-raf;KIT [P10721] Mast/stem cell growth factor receptor Kit;GRB10 [Q13322] Growth factor receptor-bound protein 10;GPR31 [O00270] 12-(S)-hydroxy-5,8,10,14-eicosatetraenoic acid receptor;KRAS [P01116] GTPase KRas;PTPN11 [Q06124] Tyrosine-protein phosphatase non-receptor type 11;OVCA2 [Q8WZ82] Esterase OVCA2",IGF1R Signaling Cascade;Downstream Signaling of Activated FGFR1;Downstream Signaling of Activated FGFR2;Signaling by FGFR4 in Disease,,CBL: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2 | TEC: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2 | SOCS1: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2 | BRAF: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2 | KIT: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2 | GRB10: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2 | GPR31: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2 | KRAS: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2 | PTPN11: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2 | OVCA2: IGF1R Signaling Cascade; Downstream Signaling of Activated FGFR1; Downstream Signaling of Activated FGFR2
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_02_05,1,binary,adaptive_modes_02_05,accepted_tbs,1,20,True,87,3.8822190272094215e-14,Mitotic Telophase Cytokinesis,,Mitotic Telophase Cytokinesis,0.9153846153846154,SMC1A;STAG3;SMC3;SMC1B;NIPBL;HIST1H3A;ADAR;RAD21;STAG2;RBM15,SMC1A [Q14683] Structural maintenance of chromosomes protein 1A;STAG3 [Q9UJ98] Cohesin subunit SA-3;SMC3 [Q9UQE7] Structural maintenance of chromosomes protein 3;SMC1B [Q8NDV3] Structural maintenance of chromosomes protein 1B;NIPBL [Q6KC79] Nipped-B-like protein;HIST1H3A [P68431] Histone H3.1;ADAR [P55265] Double-stranded RNA-specific adenosine deaminase;RAD21 [O60216] Double-strand-break repair protein rad21 homolog;STAG2 [Q8N3U4] Cohesin subunit SA-2;RBM15 [Q96T37] RNA-binding protein 15,Mitotic Telophase Cytokinesis;Establishment of Sister Chromatid Cohesion;Meiotic Synapsis;Cohesin Loading Onto Chromatin,,SMC1A: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis | STAG3: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis | SMC3: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis | SMC1B: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis | NIPBL: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis | HIST1H3A: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis | ADAR: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis | RAD21: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis | STAG2: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis | RBM15: Mitotic Telophase Cytokinesis; Establishment of Sister Chromatid Cohesion; Meiotic Synapsis
