gene,cluster_id,cluster_size
SRSF2,2,19
RARA,3,43
SMC3,1,20
DEK,3,43
TET2,3,43
PML,4,47
TP53,4,47
SMC1A,1,20
FLT3,0,21
RUNX1,3,43
IDH1,4,47
SF3B1,2,19
WT1,3,43
NRAS,0,21
KMT2A,3,43
BCL2,4,47
IDH2,4,47
EZH2,3,43
ZRSR2,2,19
RAD21,1,20
KRAS,0,21
DNMT3A,3,43
ASXL1,3,43
U2AF1,2,19
GATA2,3,43
CEBPA,3,43
NUP214,2,19
KIT,0,21
PTPN11,0,21
STAG2,1,20
MECOM,3,43
NPM1,2,19
WAPL,1,20
SMC1B,1,20
CDCA5,1,20
SGO1,4,47
REC8,4,47
MXD4,1,20
STAG3,1,20
NIPBL,1,20
SPI1,3,43
GPR31,0,21
STAG1,1,20
NXF2,2,19
CARNMT1,2,19
ELF4,4,47
KRTAP10-3,4,47
AIRE,2,19
ZNF513,3,43
SLA,0,21
ZRSR1,2,19
SRRM1,2,19
ANKRD11,3,43
CIRSR,2,19
ZNF207,4,47
U2AF1L4,2,19
USP37,4,47
FMO3,0,21
ADAR,1,20
SH2B3,0,21
SSU72,1,20
SOCS1,0,21
PAF1,3,43
USP13,4,47
TEC,0,21
RGPD2,2,19
WAPAL,1,20
KAT6A,3,43
HLF,4,47
HRK,4,47
BNIPL,4,47
GRB10,0,21
MED1,3,43
NUP93,2,19
PDS5B,1,20
CBL,0,21
OVCA2,0,21
PDS5A,1,20
RBM15,1,20
TFEC,4,47
C19ORF43,2,19
ZFPM1,3,43
RADIL,0,21
HIST1H3A,1,20
ZRSR2P1,2,19
PIK3CG,0,21
IRX4,3,43
CITED1,4,47
GPATCH11,2,19
PPP4R3A,4,47
SUV39H1,3,43
KITLG,0,21
PECAM1,0,21
HIST1H4A,1,20
AVEN,4,47
MAU2,1,20
PAWR,4,47
MATK,0,21
RGL2,0,21
CDK1,4,47
BCOR,3,43
CELA1,4,47
CSN1S1,4,47
CBX7,3,43
ZBTB5,3,43
PCGF5,3,43
HAO2,4,47
KDM2B,3,43
ZBTB7A,3,43
PCGF1,3,43
PCGF3,3,43
L3MBTL1,4,47
CARD8,4,47
NACC1,3,43
PCGF2,4,47
HSPA12A,4,47
MLLT1,3,43
ERP44,4,47
NFIC,3,43
SNAPC4,4,47
MLLT3,3,43
QPRT,3,43
KPNA4,2,19
NFIA,3,43
CBX4,3,43
NFIX,3,43
SHARPIN,4,47
RING1,4,47
C6ORF141,4,47
YAF2,4,47
PPP4R1L,4,47
RNF2,4,47
BCL6,3,43
NAA10,4,47
DCAF7,4,47
RYBP,4,47
CBX8,3,43
PIP,4,47
NCAPH2,4,47
B4GALT2,4,47
SP1,4,47
CTBP1,3,43
CDC16,4,47
CBX3,3,43
BRAF,0,21
CCDC96,4,47
CBX6,3,43
SKP1,4,47
S100P,4,47
USP7,3,43
