gene,subspace_axis_1,subspace_axis_2,cluster_id
SRSF2,-0.1433724460549721,0.1390829868093471,2
RARA,-0.018550285653707286,-0.399622378714172,3
SMC3,-0.3007128460018227,0.4198627509647294,1
DEK,-0.15800682633070295,-0.15915352907813157,3
TET2,-0.051110586694231665,-0.24628860237361794,3
PML,0.044191906792142924,-0.210794242568909,4
TP53,-0.0033035678341535243,-0.15416619031597265,4
SMC1A,-0.25174741750901364,0.3820440034930627,1
FLT3,0.7665771759340316,0.13463555831513913,0
RUNX1,-0.03544058402668086,-0.44595005378326175,3
IDH1,-0.09990503483449759,0.12309341781915976,4
SF3B1,-0.20141348966429826,0.3101138939626338,2
WT1,-0.026844589376845904,-0.15250778799522827,3
NRAS,0.682806088848799,0.1389541562689064,0
KMT2A,-0.11311666012572036,-0.4126900784572745,3
BCL2,0.08972556442377269,-0.11955130739480427,4
IDH2,-0.03699267540022831,-0.05417034697278786,4
EZH2,-0.1869620338330051,-0.10992946790507042,3
ZRSR2,-0.12996205062068425,0.1367765490593419,2
RAD21,-0.3199887403499327,0.5448446111332559,1
KRAS,0.621612837843037,0.15623745951914048,0
DNMT3A,-0.10951159126417742,-0.29771063012479626,3
ASXL1,-0.055150260914306894,-0.25832983406511195,3
U2AF1,-0.08570914952818524,0.06576528271211221,2
GATA2,-0.02698444085751194,-0.16617563692015014,3
CEBPA,-0.11841035855305558,-0.14977676770476214,3
NUP214,-0.17595154276937106,0.1866873754915096,2
KIT,0.7658699840424994,0.12414772077152762,0
PTPN11,0.765231082143188,0.12442388480950643,0
STAG2,-0.2673542631141637,0.5663163189246305,1
MECOM,-0.19275588181396006,-0.07918693772330507,3
NPM1,-0.058357035662723294,-0.005861243620414812,2
WAPL,-0.3021719842682764,0.5391548368900849,1
SMC1B,-0.3178370229571206,0.4787297517690351,1
CDCA5,-0.26717521644628683,0.5574823908811621,1
SGO1,0.0016279510753695811,0.17930430048168788,4
REC8,-0.14522387831039618,0.181664471332398,4
MXD4,-0.20569433078766447,0.19419376933691634,1
STAG3,-0.3000544642293406,0.4187661924156204,1
NIPBL,-0.3385415614130515,0.4828168652278647,1
SPI1,-0.032150476729563005,-0.40306179460146774,3
GPR31,0.6251970030384535,0.16688910870108226,0
STAG1,-0.17913187064704933,0.2687782218922832,1
NXF2,-0.17595995066212833,0.17352450187840612,2
CARNMT1,-0.12297733983847838,0.08813038560101892,2
ELF4,-0.04070925627860804,-0.22600459163748537,4
