gene,tree_distance_axis_1,tree_distance_axis_2,cluster_id
SRSF2,-0.04342834539111553,0.00400397907228285,3
RARA,0.024161608862293755,0.022263812786614882,4
SMC3,0.04041835694844366,0.013649079425540772,4
DEK,0.005577112541764713,0.03309224533712652,4
TET2,-0.004076062085155891,0.04440311715863932,4
PML,-0.013716700298474908,0.027260907080163124,4
TP53,-0.017740159875388132,0.03537410258980398,4
SMC1A,-0.013702758696957872,-0.03100261598496811,2
FLT3,0.018471280191223228,-0.04645404163653932,1
RUNX1,-0.04504427505017842,-0.005801009329898214,3
IDH1,0.028260841974215037,0.003799172770350309,4
SF3B1,0.013036053527107188,-0.04795139024831018,1
WT1,0.024302365469000088,0.008387985915190252,4
NRAS,-0.03370298424233992,-0.01459151669881701,3
KMT2A,-0.03939849128266403,0.027923411190678357,4
BCL2,0.02932317295739208,-0.04159424846954026,1
IDH2,0.03450827288142298,0.003214729062652315,4
EZH2,-0.03299520757658839,-0.055095776639767675,0
ZRSR2,-0.04560990763160292,0.005840465545284762,3
RAD21,0.0365007462341547,0.012556052216168196,4
KRAS,-0.03261050959706553,-0.00883187747403609,3
DNMT3A,-0.032046844009398286,-0.055635692229163924,0
ASXL1,-0.03141057333411911,-0.05598354582534138,0
U2AF1,-0.009374401247085835,0.017329203769385952,4
GATA2,0.024498707145419216,0.011624325275293829,4
CEBPA,-0.03904397647878568,0.026672883096933702,4
NUP214,0.008035465843632501,0.040148214852931484,4
KIT,0.018701841548821527,-0.04503240309538145,1
PTPN11,0.01832795774056802,-0.044763693612597466,1
STAG2,0.0018556800780675825,-0.005624683955098712,4
MECOM,-0.04564647417697008,-0.007838281309657821,3
NPM1,0.012990578175333691,-0.048397423868752815,1
WAPL,0.02861986158890178,0.03127122711278987,4
SMC1B,0.03766592945222484,0.011762606698922366,4
CDCA5,-0.013912151399300299,-0.03199595222479497,2
SGO1,-0.014286720316828623,-0.030172689066909904,2
REC8,-0.037671157338235145,-0.012442775966550836,3
MXD4,0.006972971553609637,0.0009351545834191563,4
STAG3,0.040417792146684124,0.01364935675640451,4
NIPBL,0.038844247931811376,0.003094611171628936,4
SPI1,-0.01504944997845823,0.028945260282804343,4
GPR31,-0.032115751211445956,-0.008852116769204558,3
STAG1,0.00787424382232466,-4.482133996306414e-05,4
NXF2,0.009166655563226052,0.03881890110768232,4
CARNMT1,-0.04372128672912594,0.006505561600371037,3
ELF4,0.00910081280501373,0.04455769460621302,4
KRTAP10-3,0.03642838421015696,0.00193667254454519,4
AIRE,0.00044475868892114676,-0.0010700796680440975,4
ZNF513,-0.03407126035542123,-0.054468211500695404,0
SLA,0.039143381376464496,-0.03412667662387658,1
ZRSR1,0.013595067194929731,-0.04836456411882607,1
SRRM1,0.012903916251379542,-0.0470364822870873,1
ANKRD11,0.026867177055957387,0.027756505376932725,4
CIRSR,-0.04662971828006841,0.001720196844631617,3
ZNF207,0.005696727164194028,0.04125318551082514,4
U2AF1L4,-0.044508634908588654,0.004221684816665321,3
USP37,0.013003750633256721,0.042240145767867526,4
FMO3,-0.0331849674780316,-0.013319919145752937,3
ADAR,0.04019310263191838,0.018889693707403912,4
SH2B3,0.01916142465912481,-0.046672536529008504,1
SSU72,0.006484427477155538,-0.0018200733081253477,4
SOCS1,0.011169191775958683,-0.0491584446370173,1
PAF1,-0.038502863908607146,0.02786333753577772,4
USP13,0.001276975805504815,0.0009960371704948855,4
TEC,0.019436382831004635,-0.0447134568854874,1
RGPD2,-0.008668194531577147,0.04258161887246086,4
WAPAL,0.03120197117775737,0.03160868128116067,4
KAT6A,-0.03553876121348106,0.034787896282806756,4
HLF,-0.0019034491230440125,0.044696092947910694,4
HRK,0.028699902952426845,-0.041650572997396704,1
BNIPL,0.028450127844278424,-0.040789234919435265,1
GRB10,0.04248407274280968,-0.031299437913114854,1
MED1,-0.038025187266839997,0.026859849438439394,4
NUP93,-0.009092555243780847,0.044104799094681985,4
PDS5B,0.008589601655760956,-5.157562124075218e-05,4
CBL,0.043253575765429875,-0.030435237281965705,1
OVCA2,0.020765299075507494,-0.046231518680212254,1
PDS5A,0.009116139945659565,-0.001331337321016505,4
RBM15,0.04149864442236466,0.008803538619688767,4
TFEC,-0.005215040989921631,0.043585843822271056,4
C19ORF43,-0.039816740809484774,0.02636156567628596,4
ZFPM1,0.024796021634889583,0.01176854920189243,4
RADIL,-0.03287783029946176,-0.014320657223027191,3
HIST1H3A,-0.041779886987502415,-0.049260333327328945,0
ZRSR2P1,-0.04521984410902768,0.006552676714024726,3
PIK3CG,-0.029729770044361118,-0.011568955083325097,3
IRX4,0.028405727507433615,0.02814420134265103,4
CITED1,0.008109341350658952,-0.0032857857946258276,4
GPATCH11,-0.04389765728927716,-0.004490224747106631,3
PPP4R3A,-0.04009899748297287,0.0030852982813181712,3
SUV39H1,-0.03554366943363856,-0.0535636936965425,0
KITLG,0.03348740966509866,-0.03871071331205195,1
PECAM1,-0.040473920585478676,0.00489252957771599,3
HIST1H4A,0.01026212281635905,0.039697882378326395,4
AVEN,0.02902087564153045,-0.0420272377836937,1
MAU2,0.032290308387782414,0.027828910758944014,4
PAWR,-0.035884596091402744,-0.015029328109392061,3
MATK,0.03414781820334746,-0.03961348107161908,1
RGL2,-0.033567132269547495,-0.013368941265665669,3
CDK1,-0.009454690657740475,-0.028778360309609972,2
BCOR,0.02630719909126457,0.024168973739353602,4
CELA1,0.03826879071664321,0.020867141066452922,4
CSN1S1,-0.0070398639205066045,0.01826468068743045,4
CBX7,0.03047339891723556,0.0013382480650779844,4
ZBTB5,0.029081785966064765,0.027344513722062428,4
PCGF5,0.03502064626660803,-0.03577735290888498,1
HAO2,0.03365312017774898,0.0036447900087462765,4
KDM2B,0.03591438974086641,-0.03524199464032373,1
ZBTB7A,-0.01555256288548051,0.03626519936441191,4
PCGF1,-0.03499833630929187,0.03558536635561202,4
PCGF3,0.03746185992588282,-0.03650680516565925,1
L3MBTL1,-0.04286081069911817,-0.04841164846000356,0
CARD8,0.03457657699851988,0.013786598896201523,4
NACC1,0.04196154367735732,0.0104599134952804,4
PCGF2,-0.012181257603219843,0.017363516872022488,4
