run_id,specificity_aware_rank,display_rank,weighting,block_name,status,assignment_source,organized_subspace_dir,radial_tree_clusters_png,radial_tree_clusters_compact_png,full_space_embedding_clusters_png,full_space_embedding_cluster_coordinates,subspace_embedding_clusters_png,subspace_embedding_cluster_coordinates,tree_distance_embedding_clusters_png,tree_distance_embedding_cluster_coordinates,cluster_id,cluster_size,recorded_cluster_size,coherent_by_rule,n_significant_terms_q05,min_q_value,top_term,top_go_id,top_term_prevalence_delta,mean_within_tfidf_cosine,local_top_terms,local_top_go_ids,representative_genes,representative_gene_proteins,representative_gene_annotations
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,0,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,HDR Through MMEJ (alt-NHEJ);CDC6 Association With the ORC Origin Complex;Polymerase Switching on the C-strand of the Telomere;RNA Polymerase II Promoter Escape,;;;,HIST1H4A,HIST1H4A,HIST1H4A: HDR Through MMEJ (alt-NHEJ); CDC6 Association With the ORC Origin Complex; Polymerase Switching on the C-strand of the Telomere
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,1,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,Glycosphingolipid Catabolism;Methylation;Assembly of the ORC Complex at the Origin of Replication;ALK Mutants Bind TKIs,;;;,KPNA4,KPNA4,KPNA4: Glycosphingolipid Catabolism; Methylation; Assembly of the ORC Complex at the Origin of Replication
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,2,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors;Acetylcholine Binding and Downstream Events;Nef Mediated Downregulation of MHC Class I Complex Cell Surface Expression;Presynaptic Nicotinic Acetylcholine Receptors,;;;,RGPD2,RGPD2,RGPD2: Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors; Acetylcholine Binding and Downstream Events; Nef Mediated Downregulation of MHC Class I Complex Cell Surface Expression
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,3,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,NCAM1 Interactions;Assembly of Collagen Fibrils and Other Multimeric Structures;Muscle Contraction;HDR Through MMEJ (alt-NHEJ),;;;,MECOM,MECOM,MECOM: NCAM1 Interactions; Assembly of Collagen Fibrils and Other Multimeric Structures; Muscle Contraction
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,4,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,Glycosphingolipid Metabolism;HCMV Late Events;TRAF6 Mediated IRF7 Activation;Metabolism of Carbohydrates,;;;,AIRE,AIRE,AIRE: Glycosphingolipid Metabolism; HCMV Late Events; TRAF6 Mediated IRF7 Activation
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,5,3,3,True,47,0.0151006711409395,HCMV Late Events,,0.9863945578231292,0.8084934603510737,HCMV Late Events;HuR (ELAVL1) Binds and Stabilizes mRNA;Metabolism of Carbohydrates;Disorders of Transmembrane Transporters,;;;,NUP214;NXF2;NUP93,NUP214;NXF2;NUP93,NUP214: HCMV Late Events; HuR (ELAVL1) Binds and Stabilizes mRNA; Metabolism of Carbohydrates | NXF2: HCMV Late Events; HuR (ELAVL1) Binds and Stabilizes mRNA; Metabolism of Carbohydrates | NUP93: HCMV Late Events; HuR (ELAVL1) Binds and Stabilizes mRNA; Metabolism of Carbohydrates
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,6,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,BBSome-mediated Cargo-Targeting to Cilium;Cargo Trafficking to the Periciliary Membrane;RHO GTPases Activate Rhotekin and Rhophilins;G Alpha (12 13) Signalling Events,;;;,DCAF7,DCAF7,DCAF7: BBSome-mediated Cargo-Targeting to Cilium; Cargo Trafficking to the Periciliary Membrane; RHO GTPases Activate Rhotekin and Rhophilins
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,7,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,Response of Mtb to Phagocytosis;Amyloid Fiber Formation;BBSome-mediated Cargo-Targeting to Cilium;Cargo Trafficking to the Periciliary Membrane,;;;,ZNF207,ZNF207,ZNF207: Response of Mtb to Phagocytosis; Amyloid Fiber Formation; BBSome-mediated Cargo-Targeting to Cilium
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,8,2,2,False,0,0.148993288590604,Formation of Annular Gap Junctions,,0.9932432432432432,0.9892460676875634,Formation of Annular Gap Junctions;Gap Junction Degradation;Diseases of Mismatch Repair (MMR);Glycine Degradation,;;;,STAG3;SMC3,STAG3;SMC3,STAG3: Formation of Annular Gap Junctions; Gap Junction Degradation; Diseases of Mismatch Repair (MMR) | SMC3: Formation of Annular Gap Junctions; Gap Junction Degradation; Diseases of Mismatch Repair (MMR)
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,3,tfidf,adaptive_modes_06_10,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank03_tfidf_adaptive_modes_06_10/tree_distance_embedding_cluster_coordinates.csv,9,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,Keratan Sulfate Keratin Metabolism;Keratan Sulfate Biosynthesis;Glycosaminoglycan Metabolism;Synthesis of PIPs at the ER Membrane,;;;,B4GALT2,B4GALT2,B4GALT2: Keratan Sulfate Keratin Metabolism; Keratan Sulfate Biosynthesis; Glycosaminoglycan Metabolism
