run_id,cluster_id,cluster_size,n_significant_terms_q05,min_q_value,top_term,top_term_prevalence_delta,coherent_by_rule
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,0,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,1,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,2,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,3,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,4,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,5,3,47,0.015100671140939595,HCMV Late Events,0.9863945578231292,True
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,6,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,7,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,8,2,0,0.148993288590604,Formation of Annular Gap Junctions,0.9932432432432432,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,9,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,10,4,8,0.014689768524859606,Recruitment of Mitotic Centrosome Proteins and Complexes,0.9383561643835616,True
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,11,2,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006756756756756757,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,12,4,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.00684931506849315,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,13,1,0,0.9154639175257733,ERKs Are Inactivated,0.9463087248322147,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,14,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,15,3,0,0.16086188625927234,Interleukin-1 Signaling,0.891156462585034,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,16,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,17,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,18,5,52,0.008726896109183768,Regulation of Lipid Metabolism by PPARalpha,0.896551724137931,True
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,19,5,0,0.06456785062776461,Circadian Clock,0.8,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,20,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,21,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,22,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,23,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,24,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,25,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,26,3,99,0.042281879194630875,Ras Activation Upon Ca2+ Influx Through NMDA Receptor,0.9659863945578231,True
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,27,3,226,0.0030201342281879194,Uptake and Function of Anthrax Toxins,1.0,True
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,28,3,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006802721088435374,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,29,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,30,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,31,6,4,0.0021619261686090458,RNA Polymerase II Transcription Termination,0.9166666666666666,True
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,32,5,25,0.009197897021482833,mRNA Splicing - Minor Pathway,0.8758620689655172,True
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,33,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,34,2,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006756756756756757,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,35,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,36,1,0,1.0,O2 CO2 Exchange in Erythrocytes,-0.006711409395973154,False
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,37,3,42,0.003020134228187919,NOTCH4 Activation and Transmission of Signal to the Nucleus,0.9863945578231292,True
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_06_10,38,8,46,0.00043773657101137977,Removal of the Flap Intermediate From the C-strand,0.7904929577464789,True
