gene,cluster_id,cluster_size
SRSF2,3,13
RARA,6,12
SMC3,15,10
DEK,4,34
TET2,11,3
PML,6,12
TP53,10,18
SMC1A,4,34
FLT3,1,6
RUNX1,4,34
IDH1,3,13
SF3B1,5,6
WT1,3,13
NRAS,14,10
KMT2A,15,10
BCL2,1,6
IDH2,15,10
EZH2,6,12
ZRSR2,13,27
RAD21,4,34
KRAS,2,5
DNMT3A,4,34
ASXL1,13,27
U2AF1,10,18
GATA2,4,34
CEBPA,2,5
NUP214,4,34
KIT,10,18
PTPN11,4,34
STAG2,14,10
MECOM,4,34
NPM1,13,27
WAPL,7,1
SMC1B,4,34
CDCA5,6,12
SGO1,13,27
REC8,3,13
MXD4,4,34
STAG3,15,10
NIPBL,4,34
SPI1,14,10
GPR31,2,5
STAG1,5,6
NXF2,0,1
CARNMT1,10,18
ELF4,4,34
KRTAP10-3,10,18
AIRE,13,27
ZNF513,10,18
SLA,5,6
ZRSR1,4,34
SRRM1,4,34
ANKRD11,4,34
CIRSR,13,27
ZNF207,13,27
U2AF1L4,6,12
USP37,13,27
FMO3,1,6
ADAR,4,34
SH2B3,12,2
SSU72,15,10
SOCS1,1,6
PAF1,14,10
USP13,10,18
TEC,1,6
RGPD2,6,12
WAPAL,13,27
KAT6A,13,27
HLF,4,34
HRK,4,34
BNIPL,10,18
GRB10,4,34
MED1,6,12
NUP93,4,34
PDS5B,12,2
CBL,9,1
OVCA2,4,34
PDS5A,5,6
RBM15,10,18
TFEC,15,10
C19ORF43,3,13
ZFPM1,13,27
RADIL,4,34
HIST1H3A,4,34
ZRSR2P1,13,27
PIK3CG,4,34
IRX4,11,3
CITED1,13,27
GPATCH11,13,27
PPP4R3A,3,13
SUV39H1,2,5
KITLG,13,27
PECAM1,10,18
HIST1H4A,10,18
AVEN,4,34
MAU2,10,18
PAWR,13,27
MATK,6,12
RGL2,1,6
CDK1,4,34
BCOR,14,10
CELA1,3,13
CSN1S1,8,1
CBX7,4,34
ZBTB5,13,27
PCGF5,11,3
HAO2,4,34
KDM2B,3,13
ZBTB7A,13,27
PCGF1,10,18
PCGF3,15,10
L3MBTL1,6,12
CARD8,10,18
NACC1,15,10
PCGF2,10,18
HSPA12A,3,13
MLLT1,13,27
ERP44,13,27
NFIC,3,13
SNAPC4,4,34
MLLT3,13,27
QPRT,13,27
KPNA4,13,27
NFIA,10,18
CBX4,14,10
NFIX,3,13
SHARPIN,6,12
RING1,4,34
C6ORF141,5,6
YAF2,2,5
PPP4R1L,4,34
RNF2,6,12
BCL6,13,27
NAA10,15,10
DCAF7,10,18
RYBP,6,12
CBX8,4,34
PIP,14,10
NCAPH2,13,27
B4GALT2,13,27
SP1,15,10
CTBP1,10,18
CDC16,14,10
CBX3,3,13
BRAF,4,34
CCDC96,3,13
CBX6,14,10
SKP1,13,27
S100P,14,10
USP7,5,6
