left,right,distance,count
2.0,38.0,0.001195176503457435,2.0
20.0,41.0,0.0013266705019596946,2.0
35.0,67.0,0.0035516345883642646,2.0
63.0,109.0,0.003962428922614572,2.0
47.0,120.0,0.004229770662706055,2.0
68.0,83.0,0.004466026126462968,2.0
10.0,101.0,0.004513531939192071,2.0
31.0,104.0,0.004679308514700216,2.0
112.0,123.0,0.005051287857355826,2.0
27.0,95.0,0.005087794733846533,2.0
21.0,58.0,0.005120086537746478,2.0
89.0,107.0,0.005136589487993218,2.0
44.0,114.0,0.005266840103505719,2.0
88.0,138.0,0.005273178615630869,2.0
54.0,91.0,0.005279298594477586,2.0
81.0,132.0,0.005325713908135293,2.0
30.0,51.0,0.005367790532037882,2.0
56.0,87.0,0.005431327995281502,2.0
70.0,141.0,0.005491909354350236,2.0
4.0,86.0,0.005537845678338238,2.0
139.0,154.0,0.005636142706198456,3.0
48.0,168.0,0.0056588583799733316,3.0
99.0,127.0,0.005700556046215484,2.0
122.0,147.0,0.005703413405074393,2.0
1.0,72.0,0.00575804120471819,2.0
9.0,71.0,0.0057618191709778305,2.0
65.0,131.0,0.005860643413230365,2.0
93.0,159.0,0.005970150701129077,3.0
152.0,163.0,0.0059846356519104695,4.0
15.0,57.0,0.005988583112632849,2.0
55.0,176.0,0.0060521555046116815,3.0
116.0,157.0,0.006089173400040617,3.0
7.0,52.0,0.006140903833719468,2.0
53.0,66.0,0.006159281725013728,2.0
25.0,151.0,0.006266485248064058,3.0
130.0,136.0,0.0063077373256052996,2.0
17.0,34.0,0.006358332650442527,2.0
117.0,164.0,0.006363274016450003,3.0
126.0,135.0,0.006409373467557723,2.0
60.0,110.0,0.006414743408954625,2.0
22.0,84.0,0.006419932738930599,2.0
92.0,153.0,0.006426627566164406,3.0
33.0,144.0,0.006430266476705505,2.0
173.0,181.0,0.006456759492734746,5.0
0.0,115.0,0.006578109959269749,2.0
24.0,185.0,0.00658113378873241,3.0
6.0,177.0,0.006583614618988233,4.0
45.0,76.0,0.006709392043368907,2.0
158.0,162.0,0.006780187079201792,4.0
37.0,106.0,0.00684467125348189,2.0
171.0,196.0,0.0068481751117837174,7.0
78.0,200.0,0.006920392797867999,8.0
183.0,193.0,0.006954760395647431,7.0
26.0,119.0,0.006994407472257767,2.0
155.0,197.0,0.0070881734178203405,4.0
23.0,201.0,0.0071590566490666654,9.0
62.0,146.0,0.007248723141340609,2.0
166.0,172.0,0.007366415902260624,4.0
29.0,137.0,0.007372944215264535,2.0
5.0,111.0,0.00738274497072383,2.0
97.0,186.0,0.007468776647498562,3.0
121.0,167.0,0.007500933349135274,3.0
108.0,187.0,0.007570227205332726,4.0
134.0,198.0,0.007618574024318889,5.0
18.0,190.0,0.007641579699625541,3.0
40.0,124.0,0.007734054605594682,2.0
11.0,149.0,0.007786518515933366,2.0
170.0,212.0,0.007807403085472354,7.0
174.0,188.0,0.00788075735102524,4.0
39.0,73.0,0.007884719546225254,2.0
80.0,143.0,0.007901277938181635,2.0
191.0,205.0,0.007902983102511682,12.0
100.0,148.0,0.008006973491091238,2.0
161.0,194.0,0.008012686084285004,4.0
69.0,94.0,0.008024190743932305,2.0
19.0,192.0,0.008036994854674418,3.0
79.0,113.0,0.008037504708034299,2.0
103.0,160.0,0.00804504107478115,3.0
202.0,217.0,0.008055620229243594,14.0
12.0,156.0,0.008061163319534674,3.0
195.0,204.0,0.008067103691465185,7.0
77.0,216.0,0.00809314101989906,3.0
175.0,199.0,0.008141175129812349,4.0
105.0,169.0,0.008155303501099397,3.0
46.0,213.0,0.00833168375973797,6.0
209.0,210.0,0.008420034058158365,5.0
49.0,231.0,0.008467776713502687,4.0
165.0,211.0,0.008536975126539777,5.0
178.0,228.0,0.008657605063440888,18.0
59.0,74.0,0.008752093222350252,2.0
133.0,189.0,0.008809133896792816,3.0
207.0,227.0,0.008810268074122659,7.0
36.0,229.0,0.008845000769535925,4.0
221.0,234.0,0.008909077617090802,18.0
50.0,82.0,0.008931606383062436,2.0
203.0,232.0,0.009063469772093071,6.0
61.0,64.0,0.009220127211446136,2.0
182.0,219.0,0.009226446238574635,4.0
3.0,225.0,0.009251906621044827,4.0
8.0,179.0,0.00928582661987866,3.0
96.0,238.0,0.009304527367680346,19.0
140.0,226.0,0.009305599235856657,3.0
28.0,230.0,0.009323870646916036,8.0
129.0,184.0,0.009368073661129541,4.0
214.0,237.0,0.009461339942244415,8.0
75.0,243.0,0.00967582699468783,19.0
241.0,244.0,0.00968997774184249,9.0
206.0,215.0,0.00973192267230227,4.0
42.0,236.0,0.009735004551762448,5.0
13.0,208.0,0.009762931678277931,3.0
102.0,255.0,0.009952949682288282,20.0
218.0,235.0,0.009964134882474576,9.0
247.0,248.0,0.010025939977962122,8.0
180.0,261.0,0.01005288055856569,12.0
224.0,245.0,0.010054796984638237,8.0
250.0,254.0,0.010181858791407023,27.0
98.0,249.0,0.010245536815289495,4.0
14.0,240.0,0.010382250120216275,4.0
252.0,256.0,0.010414504716680095,17.0
125.0,223.0,0.010529305120102842,5.0
222.0,259.0,0.010551075109584807,5.0
239.0,265.0,0.010624765142260729,29.0
85.0,264.0,0.010634566733016824,9.0
32.0,260.0,0.010709937420749558,21.0
128.0,258.0,0.01087219137087283,6.0
262.0,268.0,0.01107040996890993,25.0
263.0,273.0,0.011088273028933658,33.0
233.0,271.0,0.011328234410621838,32.0
220.0,242.0,0.011383184369185822,6.0
246.0,266.0,0.0114466177111749,6.0
276.0,277.0,0.011471978561283997,65.0
90.0,253.0,0.011533798785584116,5.0
142.0,257.0,0.011692572418276578,5.0
145.0,278.0,0.011745457721962874,7.0
251.0,267.0,0.011848397628793682,7.0
272.0,275.0,0.011974957248361982,34.0
118.0,269.0,0.01226729449078034,6.0
283.0,286.0,0.01249626772991536,13.0
274.0,280.0,0.012636003387146925,71.0
285.0,288.0,0.012739758463851666,105.0
270.0,282.0,0.01281838918825646,10.0
289.0,290.0,0.013316333296614118,115.0
287.0,291.0,0.014179817369611854,128.0
150.0,284.0,0.014476479915995702,9.0
281.0,292.0,0.015250384790494015,133.0
279.0,294.0,0.015790803020767876,139.0
16.0,293.0,0.015895636518895376,10.0
295.0,296.0,0.01611446262594307,149.0
43.0,297.0,0.016800434028818204,150.0
