gene,cluster_id,cluster_size
SRSF2,34,3
RARA,10,3
SMC3,22,3
DEK,22,3
TET2,30,3
PML,52,3
TP53,24,10
SMC1A,48,5
FLT3,41,2
RUNX1,26,3
IDH1,5,3
SF3B1,36,3
WT1,26,3
NRAS,25,3
KMT2A,13,3
BCL2,35,4
IDH2,56,3
EZH2,24,10
ZRSR2,58,6
RAD21,3,4
KRAS,57,2
DNMT3A,43,3
ASXL1,7,4
U2AF1,47,3
GATA2,50,2
CEBPA,38,5
NUP214,38,5
KIT,42,1
PTPN11,8,2
STAG2,32,2
MECOM,11,3
NPM1,40,5
WAPL,49,1
SMC1B,5,3
CDCA5,33,1
SGO1,56,3
REC8,53,3
MXD4,58,6
STAG3,22,3
NIPBL,58,6
SPI1,3,4
GPR31,57,2
STAG1,48,5
NXF2,39,3
CARNMT1,18,3
ELF4,26,3
KRTAP10-3,47,3
AIRE,13,3
ZNF513,24,10
SLA,35,4
ZRSR1,25,3
SRRM1,9,1
ANKRD11,29,3
CIRSR,38,5
ZNF207,4,3
U2AF1L4,53,3
USP37,58,6
FMO3,41,2
ADAR,30,3
SH2B3,35,4
SSU72,24,10
SOCS1,44,3
PAF1,3,4
USP13,11,3
TEC,44,3
RGPD2,55,1
WAPAL,24,10
KAT6A,56,3
HLF,40,5
HRK,16,1
BNIPL,30,3
GRB10,34,3
MED1,15,1
NUP93,11,3
PDS5B,24,10
CBL,40,5
OVCA2,2,2
PDS5A,18,3
RBM15,12,3
TFEC,36,3
C19ORF43,37,1
ZFPM1,24,10
RADIL,17,3
HIST1H3A,46,1
ZRSR2P1,58,6
PIK3CG,17,3
IRX4,54,2
CITED1,7,4
GPATCH11,10,3
PPP4R3A,29,3
SUV39H1,12,3
KITLG,21,1
PECAM1,25,3
HIST1H4A,43,3
AVEN,10,3
MAU2,50,2
PAWR,48,5
MATK,31,1
RGL2,44,3
CDK1,14,2
BCOR,0,2
CELA1,5,3
CSN1S1,8,2
CBX7,35,4
ZBTB5,24,10
PCGF5,1,1
HAO2,20,2
KDM2B,17,3
ZBTB7A,38,5
PCGF1,45,2
PCGF3,51,1
L3MBTL1,19,2
CARD8,40,5
NACC1,14,2
PCGF2,27,1
HSPA12A,29,3
MLLT1,24,10
ERP44,20,2
NFIC,18,3
SNAPC4,39,3
MLLT3,54,2
QPRT,13,3
KPNA4,7,4
NFIA,36,3
CBX4,12,3
NFIX,0,2
SHARPIN,52,3
RING1,52,3
C6ORF141,24,10
YAF2,28,1
PPP4R1L,48,5
RNF2,4,3
BCL6,6,1
NAA10,19,2
DCAF7,47,3
RYBP,53,3
CBX8,40,5
PIP,32,2
NCAPH2,34,3
B4GALT2,48,5
SP1,39,3
CTBP1,43,3
CDC16,4,3
CBX3,38,5
BRAF,2,2
CCDC96,23,1
CBX6,45,2
SKP1,58,6
S100P,3,4
USP7,7,4
