axis,axis_name,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
63,mode_63,O2 CO2 Exchange in Erythrocytes,,O2 CO2 Exchange in Erythrocytes,1,0.006666666666666667,0.05777796017013378,-0.018133988117595805,0.018133988117595805,negative,720
63,mode_63,Aryl Hydrocarbon Receptor Signalling,,Aryl Hydrocarbon Receptor Signalling,3,0.02,0.14144054254182067,-0.009270102350378983,0.009270102350378983,negative,1136
63,mode_63,SHC-mediated Cascade FGFR3,,SHC-mediated Cascade FGFR3,15,0.1,0.4689955935892812,-0.013142264800853124,0.013142264800853124,negative,950
63,mode_63,Miro GTPase Cycle,,Miro GTPase Cycle,2,0.013333333333333334,0.10215803640865039,-0.0014268946036807863,0.0014268946036807863,negative,1571
63,mode_63,ERKs Are Inactivated,,ERKs Are Inactivated,9,0.06,0.32744491915447627,0.026074598815913883,0.026074598815913883,positive,441
63,mode_63,Signal Amplification,,Signal Amplification,2,0.013333333333333334,0.10215803640865039,-0.007543793625504587,0.007543793625504587,negative,1222
63,mode_63,IRAK4 Deficiency (TLR2 4),,IRAK4 Deficiency (TLR2 4),4,0.02666666666666667,0.17738945318599736,0.013956747435086724,0.013956747435086724,positive,911
63,mode_63,Activation of Gene Expression by SREBF (SREBP),,Activation of Gene Expression by SREBF (SREBP),14,0.09333333333333334,0.4474992550368635,0.014260711335843536,0.014260711335843536,positive,898
63,mode_63,MITF-M-dependent Gene Expression,,MITF-M-dependent Gene Expression,19,0.12666666666666668,0.5482251174503202,-0.017761788962211946,0.017761788962211946,negative,734
63,mode_63,Mitotic Metaphase and Anaphase,,Mitotic Metaphase and Anaphase,47,0.31333333333333335,0.8969838216377446,-0.0051253856253296644,0.0051253856253296644,negative,1342
63,mode_63,Elastic Fibre Formation,,Elastic Fibre Formation,3,0.02,0.14144054254182067,0.01630304651008716,0.01630304651008716,positive,785
63,mode_63,CTNNB1 S45 Mutants Aren'T Phosphorylated,,CTNNB1 S45 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,0.009324620078142946,0.009324620078142946,positive,1128
63,mode_63,RHO GTPase Effectors,,RHO GTPase Effectors,30,0.2,0.7219280948873623,0.00044937855488749056,0.00044937855488749056,positive,1640
63,mode_63,Processing of SMDT1,,Processing of SMDT1,1,0.006666666666666667,0.05777796017013378,0.010277169887658746,0.010277169887658746,positive,1068
63,mode_63,Interleukin-1 Signaling,,Interleukin-1 Signaling,19,0.12666666666666668,0.5482251174503202,0.007740403218222256,0.007740403218222256,positive,1207
63,mode_63,IGF1R Signaling Cascade,,IGF1R Signaling Cascade,21,0.14,0.584238811642856,0.0020821347586713755,0.0020821347586713755,positive,1503
63,mode_63,Signaling by ALK in Cancer,,Signaling by ALK in Cancer,43,0.2866666666666667,0.8643763438484613,-0.02288851710543081,0.02288851710543081,negative,550
63,mode_63,Nonhomologous End-Joining (NHEJ),,Nonhomologous End-Joining (NHEJ),11,0.07333333333333333,0.37824164440536223,-0.016275998903997595,0.016275998903997595,negative,787
63,mode_63,Cellular Responses to Stress,,Cellular Responses to Stress,81,0.54,0.9953784388202257,0.01208842693231006,0.01208842693231006,positive,987
63,mode_63,RUNX2 Regulates Chondrocyte Maturation,,RUNX2 Regulates Chondrocyte Maturation,2,0.013333333333333334,0.10215803640865039,-0.010174450968854071,0.010174450968854071,negative,1071
63,mode_63,Apoptosis Induced DNA Fragmentation,,Apoptosis Induced DNA Fragmentation,4,0.02666666666666667,0.17738945318599736,-0.004614327471076561,0.004614327471076561,negative,1371
63,mode_63,Somitogenesis,,Somitogenesis,1,0.006666666666666667,0.05777796017013378,0.016835464816207565,0.016835464816207565,positive,767
63,mode_63,Signaling by PTK6,,Signaling by PTK6,26,0.17333333333333334,0.6652735227649414,-0.02347420130200045,0.02347420130200045,negative,534
63,mode_63,Intracellular Signaling by Second Messengers,,Intracellular Signaling by Second Messengers,70,0.4666666666666667,0.9967916319816366,-0.017269345193130527,0.017269345193130527,negative,751
63,mode_63,RHO GTPases Activate ROCKs,,RHO GTPases Activate ROCKs,4,0.02666666666666667,0.17738945318599736,0.030930261927397073,0.030930261927397073,positive,321
63,mode_63,Mucopolysaccharidoses,,Mucopolysaccharidoses,1,0.006666666666666667,0.05777796017013378,-0.002345146040928431,0.002345146040928431,negative,1479
63,mode_63,Toll-like Receptor Cascades,,Toll-like Receptor Cascades,23,0.15333333333333332,0.6181194891000384,-0.003196844753404999,0.003196844753404999,negative,1437
63,mode_63,Triglyceride Metabolism,,Triglyceride Metabolism,1,0.006666666666666667,0.05777796017013378,-0.013653893223703785,0.013653893223703785,negative,921
63,mode_63,Metabolism of Steroids,,Metabolism of Steroids,10,0.06666666666666667,0.35335933502142136,-0.013326558402230699,0.013326558402230699,negative,941
63,mode_63,Maturation of TCA Enzymes and Regulation of TCA Cycle,,Maturation of TCA Enzymes and Regulation of TCA Cycle,3,0.02,0.14144054254182067,0.047935420844786344,0.047935420844786344,positive,85
63,mode_63,TRAF6 Mediated NF-kB Activation,,TRAF6 Mediated NF-kB Activation,5,0.03333333333333333,0.21084230031853213,-0.02094511880018221,0.02094511880018221,negative,615
63,mode_63,Diseases of Carbohydrate Metabolism,,Diseases of Carbohydrate Metabolism,1,0.006666666666666667,0.05777796017013378,-0.002345146040928431,0.002345146040928431,negative,1480
63,mode_63,Disorders of Transmembrane Transporters,,Disorders of Transmembrane Transporters,7,0.04666666666666667,0.2720647864044614,-0.03321352925489552,0.03321352925489552,negative,288
63,mode_63,"Tristetraprolin (TTP, ZFP36) Binds and Destabilizes mRNA",,"Tristetraprolin (TTP, ZFP36) Binds and Destabilizes mRNA",2,0.013333333333333334,0.10215803640865039,-0.01108150148515933,0.01108150148515933,negative,1033
63,mode_63,"Incretin Synthesis, Secretion, and Inactivation",,"Incretin Synthesis, Secretion, and Inactivation",1,0.006666666666666667,0.05777796017013378,0.0006798089350865847,0.0006798089350865847,positive,1623
63,mode_63,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),1,0.006666666666666667,0.05777796017013378,-0.05230120663368007,0.05230120663368007,negative,53
63,mode_63,Downstream Signaling of Activated FGFR1,,Downstream Signaling of Activated FGFR1,21,0.14,0.584238811642856,0.0020821347586713755,0.0020821347586713755,positive,1504
63,mode_63,Keratan Sulfate Keratin Metabolism,,Keratan Sulfate Keratin Metabolism,1,0.006666666666666667,0.05777796017013378,0.019591152167756854,0.019591152167756854,positive,681
63,mode_63,RNA Polymerase I Promoter Clearance,,RNA Polymerase I Promoter Clearance,25,0.16666666666666666,0.6500224216483541,0.013050229259040981,0.013050229259040981,positive,954
63,mode_63,Telomere C-strand Synthesis Initiation,,Telomere C-strand Synthesis Initiation,3,0.02,0.14144054254182067,0.02818355469894056,0.02818355469894056,positive,397
63,mode_63,Neddylation,,Neddylation,25,0.16666666666666666,0.6500224216483541,-0.001957801158719654,0.001957801158719654,negative,1525
63,mode_63,SARS-CoV-1-host Interactions,,SARS-CoV-1-host Interactions,28,0.18666666666666668,0.6944460704939805,-0.027702134538914982,0.027702134538914982,negative,404
63,mode_63,Uptake and Function of Anthrax Toxins,,Uptake and Function of Anthrax Toxins,3,0.02,0.14144054254182067,0.016566056163407793,0.016566056163407793,positive,777
63,mode_63,VLDLR Internalisation and Degradation,,VLDLR Internalisation and Degradation,2,0.013333333333333334,0.10215803640865039,-0.0022108302989633866,0.0022108302989633866,negative,1491
63,mode_63,p53-Independent DNA Damage Response,,p53-Independent DNA Damage Response,3,0.02,0.14144054254182067,0.016767262411322256,0.016767262411322256,positive,769
63,mode_63,Signaling by Cytosolic FGFR1 Fusion Mutants,,Signaling by Cytosolic FGFR1 Fusion Mutants,16,0.10666666666666667,0.48977901368693755,0.04917911070804985,0.04917911070804985,positive,73
63,mode_63,APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,,APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,12,0.08,0.4021791902022728,-0.01533698694408241,0.01533698694408241,negative,843
63,mode_63,Regulation of Localization of FOXO Transcription Factors,,Regulation of Localization of FOXO Transcription Factors,16,0.10666666666666667,0.48977901368693755,0.0010061710922941011,0.0010061710922941011,positive,1595
63,mode_63,Protein-protein Interactions at Synapses,,Protein-protein Interactions at Synapses,5,0.03333333333333333,0.21084230031853213,-0.012131449401436827,0.012131449401436827,negative,985
63,mode_63,Membrane Trafficking,,Membrane Trafficking,11,0.07333333333333333,0.37824164440536223,-0.03302146043179345,0.03302146043179345,negative,290
63,mode_63,HSF1 Activation,,HSF1 Activation,24,0.16,0.6343095546405662,-0.016959551992861345,0.016959551992861345,negative,760
63,mode_63,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,14,0.09333333333333334,0.4474992550368635,0.031754893442954533,0.031754893442954533,positive,310
