gene,cluster_id,cluster_size
SRSF2,37,6
RARA,71,1
SMC3,2,2
DEK,54,1
TET2,52,2
PML,109,1
TP53,118,1
SMC1A,7,1
FLT3,30,1
RUNX1,68,1
IDH1,95,1
SF3B1,42,2
WT1,84,4
NRAS,22,1
KMT2A,64,1
BCL2,114,1
IDH2,92,2
EZH2,55,1
ZRSR2,37,6
RAD21,5,1
KRAS,15,2
DNMT3A,79,1
ASXL1,57,1
U2AF1,42,2
GATA2,84,4
CEBPA,51,1
NUP214,35,1
KIT,32,1
PTPN11,33,1
STAG2,6,1
MECOM,45,1
NPM1,38,1
WAPL,9,1
SMC1B,4,1
CDCA5,3,1
SGO1,100,1
REC8,96,1
MXD4,85,2
STAG3,2,2
NIPBL,10,1
SPI1,62,1
GPR31,15,2
STAG1,85,2
NXF2,34,2
CARNMT1,44,1
ELF4,108,1
KRTAP10-3,89,3
AIRE,40,1
ZNF513,52,2
SLA,24,1
ZRSR1,37,6
SRRM1,37,6
ANKRD11,48,1
CIRSR,39,2
ZNF207,106,1
U2AF1L4,39,2
USP37,102,1
FMO3,18,1
ADAR,13,2
SH2B3,29,1
SSU72,43,1
SOCS1,14,1
PAF1,50,1
USP13,103,1
TEC,26,1
RGPD2,36,1
WAPAL,8,2
KAT6A,74,1
HLF,47,1
HRK,115,1
BNIPL,116,1
GRB10,23,1
MED1,80,1
NUP93,34,2
PDS5B,13,2
CBL,19,1
OVCA2,20,1
PDS5A,8,2
RBM15,11,1
TFEC,91,3
C19ORF43,46,1
ZFPM1,84,4
RADIL,21,1
HIST1H3A,0,1
ZRSR2P1,37,6
PIK3CG,28,1
IRX4,75,1
CITED1,86,2
GPATCH11,37,6
PPP4R3A,88,1
SUV39H1,81,1
KITLG,25,1
PECAM1,17,1
HIST1H4A,12,1
AVEN,113,1
MAU2,1,1
PAWR,92,2
MATK,31,1
RGL2,27,1
CDK1,101,1
BCOR,72,1
CELA1,86,2
CSN1S1,89,3
CBX7,73,1
ZBTB5,76,2
PCGF5,76,2
HAO2,91,3
KDM2B,69,1
ZBTB7A,63,1
PCGF1,61,1
PCGF3,77,1
L3MBTL1,107,1
CARD8,111,2
NACC1,83,2
PCGF2,120,1
HSPA12A,87,1
MLLT1,83,2
ERP44,91,3
NFIC,66,1
SNAPC4,90,1
MLLT3,53,1
QPRT,58,1
KPNA4,41,1
NFIA,67,1
CBX4,78,1
NFIX,65,1
SHARPIN,117,1
RING1,111,2
C6ORF141,99,2
YAF2,119,1
PPP4R1L,105,1
RNF2,110,1
BCL6,59,1
NAA10,89,3
DCAF7,104,1
RYBP,121,1
CBX8,56,1
PIP,93,1
NCAPH2,97,2
B4GALT2,98,1
SP1,60,1
CTBP1,70,1
CDC16,99,2
CBX3,82,1
BRAF,16,1
CCDC96,94,1
CBX6,49,1
SKP1,112,1
S100P,97,2
USP7,84,4
