run_id,cluster_id,cluster_size,mean_within_tfidf_cosine
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,0,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,1,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,2,2,0.9892460676875634
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,3,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,4,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,5,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,6,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,7,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,8,2,0.607297277017846
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,9,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,10,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,11,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,12,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,13,2,0.2112016734020421
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,14,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,15,2,0.9897179652757888
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,16,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,17,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,18,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,19,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,20,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,21,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,22,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,23,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,24,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,25,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,26,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,27,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,28,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,29,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,30,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,31,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,32,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,33,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,34,2,0.7794516687224444
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,35,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,36,1,
current__adaptive_diffusion_cosine_subspace__tfidf__adaptive_modes_02_05,37,6,0.5083080383125917
