gene,subspace_axis_1,subspace_axis_2,cluster_id
SRSF2,0.09296863462276608,-0.148102308663468,37
RARA,0.08919854745612663,0.3872642409865678,71
SMC3,0.2626082311579682,-0.4678158131832968,2
DEK,0.15878035877919883,0.11774113247780921,54
TET2,0.05984308371463112,0.17952948605573865,52
PML,0.016029869251085065,0.2235892365638079,109
TP53,0.03162074042345643,0.15018691547970114,118
SMC1A,0.2320164253428997,-0.44232199012334217,7
FLT3,-0.7563503924285937,-0.049402038693692064,30
RUNX1,0.11159296934241739,0.4156231535584841,68
IDH1,0.07742656804108701,-0.102824498246334,95
SF3B1,0.15268819611874684,-0.35670350593334804,42
WT1,0.019806914558712647,0.085913441682976,84
NRAS,-0.6361950442191673,-0.06604796650370615,22
KMT2A,0.18337834446968013,0.3768926421850908,64
BCL2,-0.04853954045145054,0.11662967214099562,114
IDH2,0.024910579674752246,0.04927207349293142,92
EZH2,0.1970359937172062,0.09536313410250064,55
ZRSR2,0.09182116025573933,-0.1378523351934628,37
RAD21,0.25396744353991313,-0.5656822146902549,5
KRAS,-0.5797733966465541,-0.09983830013665634,15
DNMT3A,0.14685000515019248,0.251325302711862,79
ASXL1,0.08557296752570559,0.19424206250580608,57
U2AF1,0.04630083214727547,-0.05780525742468228,42
GATA2,0.029620834347968007,0.12146909980479478,84
CEBPA,0.18121728914875534,0.12045128896946997,51
NUP214,0.1425749642215935,-0.14128927153334822,35
KIT,-0.7562519609126066,-0.04641504421257447,32
PTPN11,-0.7673233929904937,-0.052893610337982476,33
STAG2,0.19141487860872106,-0.5572859727049635,6
MECOM,0.20857541066161803,0.05570024828875928,45
NPM1,0.050632298418105265,-0.045571495564616114,38
WAPL,0.2324525048965067,-0.5749012150994182,9
SMC1B,0.2681420642412451,-0.5249357385927863,4
CDCA5,0.19638724578965452,-0.5562486533429112,3
SGO1,-0.010075032483692119,-0.12288761202758117,100
REC8,0.10928698949263374,-0.11538556836294006,96
MXD4,0.11943626709867203,-0.109736045834921,85
STAG3,0.26048133297411147,-0.46375084720218385,2
NIPBL,0.2805235051874507,-0.5277884886693767,10
SPI1,0.09938041192788094,0.37628523334496794,62
GPR31,-0.5800218492608158,-0.10673438003243485,15
STAG1,0.0786771567090789,-0.15067802775354605,85
NXF2,0.14189702768955237,-0.12504407030166315,34
CARNMT1,0.06194535803922737,-0.0657351285861352,44
ELF4,0.08357929284534679,0.20358307109464202,108
KRTAP10-3,0.015476494088592948,0.03479167871350033,89
AIRE,0.17071263430889239,-0.14577640596531705,40
ZNF513,0.1296483267063733,0.14163652860281042,52
SLA,-0.6077639029959669,0.021728572859650373,24
ZRSR1,0.05000152230592473,-0.11129607214627552,37
SRRM1,0.08295755595546156,-0.188149521379268,37
ANKRD11,0.17135312258595783,0.08341672956235407,48
CIRSR,0.07771386368843838,-0.11005123796000185,39
ZNF207,0.16902804834399776,-0.032289042589009644,106
U2AF1L4,0.10291934973833575,-0.1275239180321258,39
USP37,0.18744006523052845,-0.25947855922409524,102
FMO3,-0.5203005681925861,-0.06896317832289497,18
ADAR,0.15965349042008606,-0.38500160602350614,13
SH2B3,-0.74323476470772,-0.05665962735476656,29
SSU72,0.13709295152960235,-0.18265817389662659,43
SOCS1,-0.6687487325085647,-0.01006028268062431,14
PAF1,0.12165407989322952,0.12070284038987905,50
USP13,0.057007605147857916,-0.05145693296132433,103
TEC,-0.6874001217014953,-0.010671057468020072,26
RGPD2,0.09843376124959069,-0.13322413253509757,36
WAPAL,0.21503405745367965,-0.5039593024385238,8
KAT6A,0.15373536483704536,0.3254121903800696,74
HLF,0.02101714019656271,0.22699936007799665,47
HRK,-0.08757803161542604,0.0966487156497732,115
BNIPL,-0.03940530257949954,0.08002723360157288,116
GRB10,-0.6881521062900371,-0.03617452110463224,23
MED1,0.14697736028032693,0.2753576312292953,80
NUP93,0.15403065929329632,-0.22598695146377912,34
PDS5B,0.1372739371487472,-0.3094337363119443,13
CBL,-0.6617262265083796,-0.02822529313030825,19
OVCA2,-0.7133204752699028,-0.03124490808639302,20
PDS5A,0.1922800220157623,-0.5376725953801343,8
RBM15,0.2073005958293965,-0.4891927849627423,11
TFEC,-0.012158535875236583,-0.0034565147311564487,91
C19ORF43,0.10956112712330529,0.09010394780819433,46
ZFPM1,0.04172916612976792,0.13384355004975096,84
RADIL,-0.7001339645632203,-0.09090418786539925,21
HIST1H3A,0.2311311357804035,-0.1750036327428603,0
ZRSR2P1,0.10964382452505664,-0.136914973221332,37
PIK3CG,-0.7506004235866498,-0.06754138621939612,28
IRX4,0.12490236726507983,0.33331040240202925,75
CITED1,0.040973961653441054,0.10585987216143328,86
GPATCH11,0.06971842547790932,-0.12335701807711344,37
PPP4R3A,-0.0015082048332392163,-0.0357607089264111,88
SUV39H1,0.17426031416491897,0.23941627677010222,81
KITLG,-0.5775326955165592,-0.03903935381480584,25
PECAM1,-0.44848151218102533,-0.02705391636577869,17
HIST1H4A,0.2514154159605249,-0.3727143683593533,12
AVEN,-0.07688348458635239,0.02609877317891532,113
MAU2,0.19329718133630938,-0.4943575587241579,1
PAWR,-0.1177691894332531,0.0059517460397855056,92
MATK,-0.7702750941258522,-0.05885197516471408,31
RGL2,-0.6086189226065323,-0.06058194595182773,27
CDK1,-0.09887334860644043,-0.13363430534983767,101
BCOR,0.1859328311697404,0.36521651597096955,72
CELA1,0.025386640685553005,0.04498570318832884,86
CSN1S1,0.010136064807821928,0.021061333001590063,89
CBX7,0.1646087682611669,0.31586185858290616,73
ZBTB5,0.14122213560789856,0.31014035583266963,76
PCGF5,0.1835696497284906,0.30795462210019975,76
HAO2,0.02343384766243281,0.031052321007311142,91
KDM2B,0.1704925932731355,0.4004953515794144,69
ZBTB7A,0.10700889116989887,0.3943589063991448,63
PCGF1,0.11926215752300173,0.30168751498136603,61
PCGF3,0.15557069440176186,0.2700848849912112,77
L3MBTL1,0.17398063975461966,-0.03870725308958018,107
CARD8,0.11285539457732124,0.18042327816884135,111
NACC1,0.10803698587382735,0.23333343902468862,83
PCGF2,0.00758004195902116,0.16366301217616538,120
HSPA12A,0.0016881739303969238,-0.026397297149457273,87
MLLT1,0.1299420819046916,0.2154845780140424,83
ERP44,0.012811377268531852,-0.0260700322356058,91
NFIC,0.14508140701431674,0.368610939534011,66
SNAPC4,0.06730946528443998,0.04917079858471032,90
MLLT3,0.08152930857675045,0.11870918821949863,53
QPRT,0.13434400858153067,0.20324501103319542,58
KPNA4,0.1665110845065188,-0.04500058532918443,41
NFIA,0.14490481286422321,0.3926473392056464,67
CBX4,0.14767850776431088,0.2794169266129215,78
NFIX,0.16975499041818928,0.45590025612707913,65
SHARPIN,-0.05099604782251733,0.07230471161178892,117
RING1,0.04110169504582607,0.25078048385133966,111
C6ORF141,0.07449667206804887,-0.11531748725590232,99
YAF2,0.050366700124506704,0.159352425210824,119
PPP4R1L,0.11718055905708999,-0.03201725170207903,105
RNF2,0.14481862184278407,0.22010536400499062,110
BCL6,0.08213483463823679,0.33380256487470694,59
NAA10,-0.020375185537396166,0.012901041286949662,89
DCAF7,0.0872202412582084,0.00280228808232192,104
RYBP,0.027167700440701853,0.11704044748499404,121
CBX8,0.12972898846152,0.19555421885652224,56
PIP,0.04053669586016263,-0.0932631488431632,93
NCAPH2,0.0850289087583955,-0.14602723715130958,97
B4GALT2,0.07689597547937022,-0.06455598080451377,98
SP1,0.10057399791897059,0.3496036460638562,60
CTBP1,0.16757126436774547,0.390249995697207,70
CDC16,0.11164759336765542,-0.13571615128459721,99
CBX3,0.23432306466609945,0.1334600960817713,82
BRAF,-0.501089563832134,-0.00527285142715821,16
CCDC96,0.06554942098602104,-0.21666747167895545,94
CBX6,0.09909805674867744,0.09704421072600986,49
SKP1,0.05508717812038402,0.07130317410348735,112
S100P,0.0770976253139657,-0.16757928250473017,97
USP7,0.15318104052331152,0.056414829142718434,84
