axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
6,mode_06,top_positive,Organelle Biogenesis and Maintenance,,Organelle Biogenesis and Maintenance,25,0.16666666666666666,0.6500224216483541,0.1380385368975388,0.1380385368975388,positive,1
6,mode_06,top_positive,M Phase,,M Phase,55,0.36666666666666664,0.9480782435939055,0.11869357838238055,0.11869357838238055,positive,3
6,mode_06,top_positive,Mitotic Prometaphase,,Mitotic Prometaphase,50,0.3333333333333333,0.9182958340544896,0.1150627166434241,0.1150627166434241,positive,4
6,mode_06,top_positive,Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes,,Epigenetic Regulation of Gene Expression by MLL3 and MLL4 Complexes,30,0.2,0.7219280948873623,0.09536243633371563,0.09536243633371563,positive,10
6,mode_06,top_positive,Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes,,Epigenetic Regulation of Adipogenesis Genes by MLL3 and MLL4 Complexes,30,0.2,0.7219280948873623,0.09536243633371563,0.09536243633371563,positive,12
6,mode_06,top_positive,MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis,,MLL4 and MLL3 Complexes Regulate Expression of PPARG Targets in Adipogenesis and Hepatic Steatosis,30,0.2,0.7219280948873623,0.09536243633371563,0.09536243633371563,positive,11
6,mode_06,top_positive,Recruitment of Mitotic Centrosome Proteins and Complexes,,Recruitment of Mitotic Centrosome Proteins and Complexes,13,0.08666666666666667,0.42524461248637185,0.09462033408338681,0.09462033408338681,positive,14
6,mode_06,top_positive,Centrosome Maturation,,Centrosome Maturation,13,0.08666666666666667,0.42524461248637185,0.09462033408338681,0.09462033408338681,positive,15
6,mode_06,top_positive,Recruitment of NuMA to Mitotic Centrosomes,,Recruitment of NuMA to Mitotic Centrosomes,15,0.1,0.4689955935892812,0.09458349367250639,0.09458349367250639,positive,16
6,mode_06,top_positive,Loss of Function of MECP2 in Rett Syndrome,,Loss of Function of MECP2 in Rett Syndrome,29,0.19333333333333333,0.708392686703044,0.09414817224370857,0.09414817224370857,positive,20
6,mode_06,top_positive,Pervasive Developmental Disorders,,Pervasive Developmental Disorders,29,0.19333333333333333,0.708392686703044,0.09414817224370857,0.09414817224370857,positive,18
6,mode_06,top_positive,Disorders of Nervous System Development,,Disorders of Nervous System Development,29,0.19333333333333333,0.708392686703044,0.09414817224370857,0.09414817224370857,positive,19
6,mode_06,top_positive,Disorders of Developmental Biology,,Disorders of Developmental Biology,29,0.19333333333333333,0.708392686703044,0.09414817224370857,0.09414817224370857,positive,17
6,mode_06,top_positive,Transcriptional Regulation by MECP2,,Transcriptional Regulation by MECP2,30,0.2,0.7219280948873623,0.08969985480685198,0.08969985480685198,positive,21
6,mode_06,top_positive,Anchoring of the Basal Body to the Plasma Membrane,,Anchoring of the Basal Body to the Plasma Membrane,13,0.08666666666666667,0.42524461248637185,0.08836283810473364,0.08836283810473364,positive,22
6,mode_06,top_positive,Notch-HLH Transcription Pathway,,Notch-HLH Transcription Pathway,32,0.21333333333333335,0.7478061583312325,0.08802547419875056,0.08802547419875056,positive,23
6,mode_06,top_positive,Cilium Assembly,,Cilium Assembly,13,0.08666666666666667,0.42524461248637185,0.08746175351354506,0.08746175351354506,positive,24
6,mode_06,top_positive,Circadian Clock,,Circadian Clock,34,0.22666666666666666,0.7721551435804814,0.08678541176966795,0.08678541176966795,positive,25
6,mode_06,top_positive,Loss of MECP2 Binding Ability to the NCoR SMRT Complex,,Loss of MECP2 Binding Ability to the NCoR SMRT Complex,20,0.13333333333333333,0.5665095065529053,0.08470731099412888,0.08470731099412888,positive,28
6,mode_06,top_positive,Loss of Proteins Required for Interphase Microtubule Organization From the Centrosome,,Loss of Proteins Required for Interphase Microtubule Organization From the Centrosome,16,0.10666666666666667,0.48977901368693755,0.08390229316884283,0.08390229316884283,positive,29
6,mode_06,top_negative,Oxidative Stress Induced Senescence,,Oxidative Stress Induced Senescence,40,0.26666666666666666,0.8366407419411672,-0.12157969586343252,0.12157969586343252,negative,2
6,mode_06,top_negative,Transcriptional Regulation by E2F6,,Transcriptional Regulation by E2F6,51,0.34,0.9248187049730301,-0.11503971164959594,0.11503971164959594,negative,5
6,mode_06,top_negative,SUMOylation of DNA Methylation Proteins,,SUMOylation of DNA Methylation Proteins,38,0.25333333333333335,0.8165187119538282,-0.11221765452789106,0.11221765452789106,negative,6
6,mode_06,top_negative,Transcriptional Regulation by TP53,,Transcriptional Regulation by TP53,69,0.46,0.9953784388202257,-0.10386461508995345,0.10386461508995345,negative,7
6,mode_06,top_negative,Regulation of TP53 Activity,,Regulation of TP53 Activity,66,0.44,0.9895875212220556,-0.10378792366502909,0.10378792366502909,negative,8
6,mode_06,top_negative,RNA Polymerase II Transcription,,RNA Polymerase II Transcription,85,0.5666666666666667,0.9871377743721863,-0.10032566309502891,0.10032566309502891,negative,9
6,mode_06,top_negative,Cellular Senescence,,Cellular Senescence,49,0.32666666666666666,0.9114844096987045,-0.09519287526371799,0.09519287526371799,negative,13
6,mode_06,top_negative,mRNA Splicing,,mRNA Splicing,30,0.2,0.7219280948873623,-0.08507424524062461,0.08507424524062461,negative,26
6,mode_06,top_negative,mRNA Splicing - Major Pathway,,mRNA Splicing - Major Pathway,30,0.2,0.7219280948873623,-0.08507424524062461,0.08507424524062461,negative,27
6,mode_06,top_negative,RUNX1 Interacts With Co-Factors Whose Precise Effect on RUNX1 Targets Is Not Known,,RUNX1 Interacts With Co-Factors Whose Precise Effect on RUNX1 Targets Is Not Known,43,0.2866666666666667,0.8643763438484613,-0.08007677308948616,0.08007677308948616,negative,32
6,mode_06,top_negative,Transcriptional Regulation by RUNX1,,Transcriptional Regulation by RUNX1,54,0.36,0.9426831892554922,-0.0713935236551092,0.0713935236551092,negative,40
6,mode_06,top_negative,PTEN Regulation,,PTEN Regulation,56,0.37333333333333335,0.9531971725430559,-0.0713694500146362,0.0713694500146362,negative,41
6,mode_06,top_negative,Generic Transcription Pathway,,Generic Transcription Pathway,78,0.52,0.9988455359952018,-0.07124013755988785,0.07124013755988785,negative,42
6,mode_06,top_negative,Intracellular Signaling by Second Messengers,,Intracellular Signaling by Second Messengers,70,0.4666666666666667,0.9967916319816366,-0.07090939292627468,0.07090939292627468,negative,44
6,mode_06,top_negative,PIP3 Activates AKT Signaling,,PIP3 Activates AKT Signaling,71,0.47333333333333333,0.9979471932237238,-0.06977187764587965,0.06977187764587965,negative,50
