axis,axis_name,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
10,mode_10,O2 CO2 Exchange in Erythrocytes,,O2 CO2 Exchange in Erythrocytes,1,0.006666666666666667,0.05777796017013378,-0.013765749306364095,0.013765749306364095,negative,633
10,mode_10,Aryl Hydrocarbon Receptor Signalling,,Aryl Hydrocarbon Receptor Signalling,3,0.02,0.14144054254182067,0.006144396949436087,0.006144396949436087,positive,935
10,mode_10,SHC-mediated Cascade FGFR3,,SHC-mediated Cascade FGFR3,15,0.1,0.4689955935892812,-0.00041866983260036364,0.00041866983260036364,negative,1581
10,mode_10,Miro GTPase Cycle,,Miro GTPase Cycle,2,0.013333333333333334,0.10215803640865039,-0.0015722638787708946,0.0015722638787708946,negative,1412
10,mode_10,ERKs Are Inactivated,,ERKs Are Inactivated,9,0.06,0.32744491915447627,-0.02119355581413601,0.02119355581413601,negative,399
10,mode_10,Signal Amplification,,Signal Amplification,2,0.013333333333333334,0.10215803640865039,-0.0033960852935775053,0.0033960852935775053,negative,1180
10,mode_10,IRAK4 Deficiency (TLR2 4),,IRAK4 Deficiency (TLR2 4),4,0.02666666666666667,0.17738945318599736,-0.021077890730527907,0.021077890730527907,negative,402
10,mode_10,Activation of Gene Expression by SREBF (SREBP),,Activation of Gene Expression by SREBF (SREBP),14,0.09333333333333334,0.4474992550368635,-0.008640117838088626,0.008640117838088626,negative,794
10,mode_10,MITF-M-dependent Gene Expression,,MITF-M-dependent Gene Expression,19,0.12666666666666668,0.5482251174503202,0.015134318955716361,0.015134318955716361,positive,596
10,mode_10,Mitotic Metaphase and Anaphase,,Mitotic Metaphase and Anaphase,47,0.31333333333333335,0.8969838216377446,-0.07532890554995092,0.07532890554995092,negative,28
10,mode_10,Elastic Fibre Formation,,Elastic Fibre Formation,3,0.02,0.14144054254182067,-0.005633489014829778,0.005633489014829778,negative,976
10,mode_10,CTNNB1 S45 Mutants Aren'T Phosphorylated,,CTNNB1 S45 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.004464197522283344,0.004464197522283344,negative,1064
10,mode_10,RHO GTPase Effectors,,RHO GTPase Effectors,30,0.2,0.7219280948873623,0.009872050087005906,0.009872050087005906,positive,743
10,mode_10,Processing of SMDT1,,Processing of SMDT1,1,0.006666666666666667,0.05777796017013378,0.004049125361174689,0.004049125361174689,positive,1104
10,mode_10,Interleukin-1 Signaling,,Interleukin-1 Signaling,19,0.12666666666666668,0.5482251174503202,-0.011612582223935871,0.011612582223935871,negative,690
10,mode_10,IGF1R Signaling Cascade,,IGF1R Signaling Cascade,21,0.14,0.584238811642856,-0.0035295737348875955,0.0035295737348875955,negative,1149
10,mode_10,Signaling by ALK in Cancer,,Signaling by ALK in Cancer,43,0.2866666666666667,0.8643763438484613,0.02739552565958797,0.02739552565958797,positive,283
10,mode_10,Nonhomologous End-Joining (NHEJ),,Nonhomologous End-Joining (NHEJ),11,0.07333333333333333,0.37824164440536223,0.016799496058495244,0.016799496058495244,positive,549
10,mode_10,Cellular Responses to Stress,,Cellular Responses to Stress,81,0.54,0.9953784388202257,0.07012614920380986,0.07012614920380986,positive,38
10,mode_10,RUNX2 Regulates Chondrocyte Maturation,,RUNX2 Regulates Chondrocyte Maturation,2,0.013333333333333334,0.10215803640865039,0.005217348513046559,0.005217348513046559,positive,1000
10,mode_10,Apoptosis Induced DNA Fragmentation,,Apoptosis Induced DNA Fragmentation,4,0.02666666666666667,0.17738945318599736,0.01547333450290575,0.01547333450290575,positive,580
10,mode_10,Somitogenesis,,Somitogenesis,1,0.006666666666666667,0.05777796017013378,0.0015578512131646908,0.0015578512131646908,positive,1420
10,mode_10,Signaling by PTK6,,Signaling by PTK6,26,0.17333333333333334,0.6652735227649414,0.007525587506903857,0.007525587506903857,positive,868
10,mode_10,Intracellular Signaling by Second Messengers,,Intracellular Signaling by Second Messengers,70,0.4666666666666667,0.9967916319816366,-0.020346899142767,0.020346899142767,negative,420
10,mode_10,RHO GTPases Activate ROCKs,,RHO GTPases Activate ROCKs,4,0.02666666666666667,0.17738945318599736,0.00629572992490866,0.00629572992490866,positive,920
10,mode_10,Mucopolysaccharidoses,,Mucopolysaccharidoses,1,0.006666666666666667,0.05777796017013378,0.003357725920811924,0.003357725920811924,positive,1183
10,mode_10,Toll-like Receptor Cascades,,Toll-like Receptor Cascades,23,0.15333333333333332,0.6181194891000384,-0.03387110782344811,0.03387110782344811,negative,202
10,mode_10,Triglyceride Metabolism,,Triglyceride Metabolism,1,0.006666666666666667,0.05777796017013378,-0.00013822011657790132,0.00013822011657790132,negative,1638
10,mode_10,Metabolism of Steroids,,Metabolism of Steroids,10,0.06666666666666667,0.35335933502142136,-0.002009683865141216,0.002009683865141216,negative,1356
10,mode_10,Maturation of TCA Enzymes and Regulation of TCA Cycle,,Maturation of TCA Enzymes and Regulation of TCA Cycle,3,0.02,0.14144054254182067,-0.00585492489027293,0.00585492489027293,negative,960
10,mode_10,TRAF6 Mediated NF-kB Activation,,TRAF6 Mediated NF-kB Activation,5,0.03333333333333333,0.21084230031853213,0.004527758889806601,0.004527758889806601,positive,1058
10,mode_10,Diseases of Carbohydrate Metabolism,,Diseases of Carbohydrate Metabolism,1,0.006666666666666667,0.05777796017013378,0.003357725920811924,0.003357725920811924,positive,1184
10,mode_10,Disorders of Transmembrane Transporters,,Disorders of Transmembrane Transporters,7,0.04666666666666667,0.2720647864044614,0.002873020148820552,0.002873020148820552,positive,1228
10,mode_10,"Tristetraprolin (TTP, ZFP36) Binds and Destabilizes mRNA",,"Tristetraprolin (TTP, ZFP36) Binds and Destabilizes mRNA",2,0.013333333333333334,0.10215803640865039,0.00878774100732906,0.00878774100732906,positive,789
10,mode_10,"Incretin Synthesis, Secretion, and Inactivation",,"Incretin Synthesis, Secretion, and Inactivation",1,0.006666666666666667,0.05777796017013378,-0.001405240507257548,0.001405240507257548,negative,1452
10,mode_10,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),1,0.006666666666666667,0.05777796017013378,0.0015973961564111692,0.0015973961564111692,positive,1405
10,mode_10,Downstream Signaling of Activated FGFR1,,Downstream Signaling of Activated FGFR1,21,0.14,0.584238811642856,-0.0035295737348875955,0.0035295737348875955,negative,1150
10,mode_10,Keratan Sulfate Keratin Metabolism,,Keratan Sulfate Keratin Metabolism,1,0.006666666666666667,0.05777796017013378,0.005959421363561856,0.005959421363561856,positive,949
10,mode_10,RNA Polymerase I Promoter Clearance,,RNA Polymerase I Promoter Clearance,25,0.16666666666666666,0.6500224216483541,0.04553119317529772,0.04553119317529772,positive,122
10,mode_10,Telomere C-strand Synthesis Initiation,,Telomere C-strand Synthesis Initiation,3,0.02,0.14144054254182067,0.011165911967505472,0.011165911967505472,positive,708
10,mode_10,Neddylation,,Neddylation,25,0.16666666666666666,0.6500224216483541,0.02005163821854311,0.02005163821854311,positive,429
10,mode_10,SARS-CoV-1-host Interactions,,SARS-CoV-1-host Interactions,28,0.18666666666666668,0.6944460704939805,0.07622495609589366,0.07622495609589366,positive,27
10,mode_10,Uptake and Function of Anthrax Toxins,,Uptake and Function of Anthrax Toxins,3,0.02,0.14144054254182067,0.004786614186018411,0.004786614186018411,positive,1030
10,mode_10,VLDLR Internalisation and Degradation,,VLDLR Internalisation and Degradation,2,0.013333333333333334,0.10215803640865039,0.00612252338350672,0.00612252338350672,positive,936
10,mode_10,p53-Independent DNA Damage Response,,p53-Independent DNA Damage Response,3,0.02,0.14144054254182067,0.007816342861604549,0.007816342861604549,positive,852
10,mode_10,Signaling by Cytosolic FGFR1 Fusion Mutants,,Signaling by Cytosolic FGFR1 Fusion Mutants,16,0.10666666666666667,0.48977901368693755,0.0030424563772921574,0.0030424563772921574,positive,1211
10,mode_10,APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,,APC C Cdh1 Mediated Degradation of Cdc20 and Other APC C Cdh1 Targets in Late Mitosis Early G1,12,0.08,0.4021791902022728,0.03227633568022042,0.03227633568022042,positive,219
10,mode_10,Regulation of Localization of FOXO Transcription Factors,,Regulation of Localization of FOXO Transcription Factors,16,0.10666666666666667,0.48977901368693755,0.010645311602475824,0.010645311602475824,positive,724
10,mode_10,Protein-protein Interactions at Synapses,,Protein-protein Interactions at Synapses,5,0.03333333333333333,0.21084230031853213,-0.04335621122895793,0.04335621122895793,negative,138
10,mode_10,Membrane Trafficking,,Membrane Trafficking,11,0.07333333333333333,0.37824164440536223,-0.02786938149823469,0.02786938149823469,negative,274
10,mode_10,HSF1 Activation,,HSF1 Activation,24,0.16,0.6343095546405662,0.021347583317476593,0.021347583317476593,positive,393
10,mode_10,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,,Antigen Activates B Cell Receptor (BCR) Leading to Generation of Second Messengers,14,0.09333333333333334,0.4474992550368635,-0.002477019942634358,0.002477019942634358,negative,1284
10,mode_10,Chromosome Maintenance,,Chromosome Maintenance,22,0.14666666666666667,0.6014353864290773,0.06282576491107557,0.06282576491107557,positive,47
10,mode_10,Gene Silencing by RNA,,Gene Silencing by RNA,9,0.06,0.32744491915447627,0.019486332062036114,0.019486332062036114,positive,444
10,mode_10,Pancreas Beta Cells,,Pancreas Beta Cells,2,0.013333333333333334,0.10215803640865039,-0.0013043871670003389,0.0013043871670003389,negative,1465
10,mode_10,G2 M Transition,,G2 M Transition,31,0.20666666666666667,0.7350626941249581,0.03072524429870716,0.03072524429870716,positive,237
10,mode_10,Regulation of Necroptotic Cell Death,,Regulation of Necroptotic Cell Death,13,0.08666666666666667,0.42524461248637185,-0.017831305366198872,0.017831305366198872,negative,507
10,mode_10,SARS-CoV-2 Targets Host Intracellular Signalling and Regulatory Pathways,,SARS-CoV-2 Targets Host Intracellular Signalling and Regulatory Pathways,18,0.12,0.5293608652873644,0.008356620772249666,0.008356620772249666,positive,810
10,mode_10,Notch Signaling,,Notch Signaling,6,0.04,0.24229218908241482,0.009128311831517149,0.009128311831517149,positive,778
10,mode_10,Activation of the Pre-Replicative Complex,,Activation of the Pre-Replicative Complex,23,0.15333333333333332,0.6181194891000384,0.03652352530002786,0.03652352530002786,positive,187
10,mode_10,Resolution of Sister Chromatid Cohesion,,Resolution of Sister Chromatid Cohesion,42,0.28,0.8554508105601306,-0.09268059124600389,0.09268059124600389,negative,18
10,mode_10,"SUMO Is Transferred From E1 to E2 (UBE2I, UBC9)",,"SUMO Is Transferred From E1 to E2 (UBE2I, UBC9)",6,0.04,0.24229218908241482,0.0016717856166670508,0.0016717856166670508,positive,1393
10,mode_10,TGF-beta Receptor Signaling Activates SMADs,,TGF-beta Receptor Signaling Activates SMADs,11,0.07333333333333333,0.37824164440536223,0.0159129670834477,0.0159129670834477,positive,574
10,mode_10,p53-Dependent G1 S DNA Damage Checkpoint,,p53-Dependent G1 S DNA Damage Checkpoint,12,0.08,0.4021791902022728,0.019737141583604054,0.019737141583604054,positive,437
10,mode_10,Activation of RAC1 Downstream of NMDARs,,Activation of RAC1 Downstream of NMDARs,3,0.02,0.14144054254182067,0.0079684019390624,0.0079684019390624,positive,836
10,mode_10,Calcineurin Activates NFAT,,Calcineurin Activates NFAT,7,0.04666666666666667,0.2720647864044614,-0.017527514856813267,0.017527514856813267,negative,517
