run_id,cluster_id,cluster_size,mean_within_tfidf_cosine
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,0,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,1,2,0.5522228404676588
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,2,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,3,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,4,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,5,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,6,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,7,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,8,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,9,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,10,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,11,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,12,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,13,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,14,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,15,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,16,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,17,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,18,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,19,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,20,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,21,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,22,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,23,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,24,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,25,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,26,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,27,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,28,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,29,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,30,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,31,1,
current__adaptive_diffusion_cosine_subspace__binary__adaptive_modes_22_51,32,1,
