gene,tree_distance_axis_1,tree_distance_axis_2,cluster_id
SRSF2,0.012026573432531773,-0.010902860373579473,1
RARA,0.01135548130591426,-0.011731505918178658,3
SMC3,-0.003705325565258316,-0.005595517157393228,75
DEK,-0.0019512309801395186,-0.012409576246262537,50
TET2,-0.004358321577346283,-0.007781789732701525,77
PML,-0.0063038670851753385,0.009571340919233106,38
TP53,-0.01236470790557095,0.005437657210304171,113
SMC1A,0.0022571049504010337,-0.006948381428358176,64
FLT3,-0.00873834450267158,-0.0069785282971272684,108
RUNX1,-0.0008539119861359508,-0.006953667583383004,66
IDH1,-0.00288662603349199,-0.012707621765917955,55
SF3B1,-0.014136370985275913,0.0022422062447185927,111
WT1,-0.010222535601132761,-0.006198885130809701,105
NRAS,0.012191968622092134,0.004967679997004446,137
KMT2A,-0.003401587870417735,0.013828214938103923,25
BCL2,0.010293956145564357,0.010470890863105192,129
IDH2,0.003472530923761483,-0.0038609590192834027,59
EZH2,-0.006360217817913798,-0.008971539002267052,76
ZRSR2,0.0034816237304329473,-0.008191890763076125,63
RAD21,0.013018349196741535,0.002771143786743013,131
KRAS,-0.008237324185270184,0.006490006012140308,120
DNMT3A,0.0069174496877950605,0.0024489948811654903,36
ASXL1,-0.004873748724125288,-0.008177298885602993,78
U2AF1,0.01382692004899598,-0.00805701275836894,11
GATA2,0.012521488372164517,0.007027030411293757,142
CEBPA,0.0001527953786074119,-0.012354767597195613,47
NUP214,0.014252961032143291,-0.007423497120555724,12
KIT,-0.006956142932782699,-0.003991418533147131,91
PTPN11,-0.0046636977933389315,-0.006992987828146206,79
STAG2,-0.0006562604925547122,-0.003376250441201594,72
MECOM,-0.0034960346822329063,0.012052885284374832,21
NPM1,-0.010833147377847544,-0.005050967589847782,100
WAPL,-0.007439249001443269,0.010377234139115522,39
SMC1B,0.01376196722936656,0.0029422616336321253,132
CDCA5,0.003674639415097751,-0.005194685985214099,57
SGO1,0.003800756594200961,-0.004332165910638049,60
REC8,-0.011315580826119914,-0.0040650809783035775,97
MXD4,-0.009322731298272924,0.006491614290104698,119
STAG3,-0.003705277075761035,-0.005595211208310705,75
NIPBL,-0.0019362731729546828,0.01380203681102385,27
SPI1,0.013522686556035788,0.0018137518413663528,133
GPR31,-0.008235664629014261,0.006490068904814294,120
STAG1,0.01218892732550274,0.00737843155059035,143
NXF2,0.013827570422349387,-0.007515756865699262,13
CARNMT1,-0.008308840890305327,-0.005424995244243381,102
ELF4,0.004165931658594045,0.005975515488693612,32
KRTAP10-3,-0.009499975751597117,-0.0043362250980520855,101
AIRE,4.015038484150804e-05,0.011224433192545177,15
ZNF513,0.002651530451224868,0.006596480528354252,37
SLA,0.016176243912274943,-0.001975430305353964,0
ZRSR1,-0.0007215546371148408,-0.004695198153062166,73
SRRM1,-0.0012903853241781362,0.013788977470306881,26
ANKRD11,0.0016727391112730124,-0.00791580198610024,65
CIRSR,-0.00992311235014033,-0.004418289755694764,101
ZNF207,0.009705445198057008,0.011084491360984562,130
U2AF1L4,0.011748354963158446,-0.011290495445790973,1
USP37,0.0017737104490707257,0.01035525655521128,14
FMO3,0.011835721288218031,0.006328549206509974,140
ADAR,-0.002449291705611966,0.0021875168982170338,67
SH2B3,-0.0093257581510473,-0.007166800272618819,109
SSU72,-0.004388559763008962,0.012778809941537964,23
SOCS1,0.0006442493352589397,-0.011192647334195525,43
PAF1,-0.005522919264488604,-0.0021345608931363333,81
USP13,0.008792759419592358,0.010082702926908797,127
TEC,0.001540226146072833,-0.011119331173587906,44
RGPD2,-0.006378619426782188,8.262301770765913e-06,86
WAPAL,-0.011115492652642629,0.006877514875665845,115
KAT6A,-0.009903487013108872,-0.0058222795475808544,104
HLF,0.0001651216820349242,0.010610481978950263,16
HRK,0.006810092882464991,0.012393976911723267,123
BNIPL,0.009264219102575019,-0.0011064885769174174,20
GRB10,0.004714426002590941,0.00560947150862269,31
MED1,-0.0038695855405751897,-0.011867359120686472,51
NUP93,-0.005259637998813546,-0.012253156910525607,56
PDS5B,-0.007982551096946356,0.010318800507627082,41
CBL,0.009526819068755651,0.009858347010127121,128
OVCA2,-0.008061708176436375,-0.006121256297596914,103
PDS5A,-0.01084373297245659,0.0060072342036369,114
RBM15,-0.0008710879740820222,0.0006258065174050121,69
TFEC,-0.011099619166021674,-0.0017481637762066613,94
