gene,cluster_id,cluster_size
SRSF2,81,1
RARA,0,1
SMC3,1,1
DEK,60,1
TET2,108,1
PML,20,1
TP53,39,1
SMC1A,8,1
FLT3,117,1
RUNX1,5,1
IDH1,87,1
SF3B1,121,1
WT1,33,10
NRAS,130,1
KMT2A,10,1
BCL2,126,1
IDH2,33,10
EZH2,79,1
ZRSR2,30,2
RAD21,63,1
KRAS,105,1
DNMT3A,68,1
ASXL1,40,1
U2AF1,83,1
GATA2,26,1
CEBPA,14,1
NUP214,122,1
KIT,97,1
PTPN11,99,1
STAG2,48,1
MECOM,2,1
NPM1,84,1
WAPL,42,1
SMC1B,69,1
CDCA5,56,1
SGO1,104,1
REC8,100,1
MXD4,125,1
STAG3,3,1
NIPBL,71,1
SPI1,12,1
GPR31,98,1
STAG1,27,1
NXF2,118,1
CARNMT1,33,10
ELF4,70,1
KRTAP10-3,33,10
AIRE,106,1
ZNF513,111,1
SLA,102,1
ZRSR1,31,1
SRRM1,88,1
ANKRD11,41,1
CIRSR,33,10
ZNF207,15,1
U2AF1L4,23,1
USP37,7,1
FMO3,90,1
ADAR,103,1
SH2B3,120,1
SSU72,128,1
SOCS1,54,1
PAF1,34,1
USP13,101,1
TEC,52,1
RGPD2,95,1
WAPAL,50,1
KAT6A,73,1
HLF,46,1
HRK,123,1
BNIPL,134,1
GRB10,53,1
MED1,74,1
NUP93,112,1
PDS5B,93,1
CBL,36,1
OVCA2,107,1
PDS5A,109,1
RBM15,55,1
TFEC,22,3
C19ORF43,135,1
ZFPM1,85,1
RADIL,129,1
HIST1H3A,66,1
ZRSR2P1,32,2
PIK3CG,132,1
IRX4,45,1
CITED1,75,1
GPATCH11,30,2
PPP4R3A,24,1
SUV39H1,37,1
KITLG,96,1
PECAM1,86,1
HIST1H4A,64,1
AVEN,131,1
MAU2,114,1
PAWR,33,10
MATK,115,1
RGL2,94,1
CDK1,16,1
BCOR,9,1
CELA1,33,10
CSN1S1,33,10
CBX7,77,1
ZBTB5,47,1
PCGF5,80,1
HAO2,33,10
KDM2B,6,1
ZBTB7A,11,1
PCGF1,76,1
PCGF3,35,1
L3MBTL1,43,1
CARD8,113,1
NACC1,124,1
PCGF2,49,1
HSPA12A,29,1
MLLT1,119,1
ERP44,22,3
NFIC,58,1
SNAPC4,22,3
MLLT3,82,1
QPRT,116,1
KPNA4,57,1
NFIA,78,1
CBX4,4,1
NFIX,13,1
SHARPIN,25,1
RING1,65,1
C6ORF141,32,2
YAF2,59,1
PPP4R1L,133,1
RNF2,18,1
BCL6,67,1
NAA10,33,10
DCAF7,72,1
RYBP,61,1
CBX8,44,1
PIP,110,1
NCAPH2,28,1
B4GALT2,127,1
SP1,17,1
CTBP1,19,1
CDC16,136,1
CBX3,21,1
BRAF,62,1
CCDC96,91,1
CBX6,92,1
SKP1,38,1
S100P,89,1
USP7,51,1
