axis,axis_name,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
1,mode_01,O2 CO2 Exchange in Erythrocytes,,O2 CO2 Exchange in Erythrocytes,1,0.006666666666666667,0.05777796017013378,-0.002348233896905719,0.002348233896905719,negative,1549
1,mode_01,Aryl Hydrocarbon Receptor Signalling,,Aryl Hydrocarbon Receptor Signalling,3,0.02,0.14144054254182067,-0.0036770659412014273,0.0036770659412014273,negative,1415
1,mode_01,SHC-mediated Cascade FGFR3,,SHC-mediated Cascade FGFR3,15,0.1,0.4689955935892812,-0.014307655892301919,0.014307655892301919,negative,824
1,mode_01,Miro GTPase Cycle,,Miro GTPase Cycle,2,0.013333333333333334,0.10215803640865039,-0.0031984288972098573,0.0031984288972098573,negative,1451
1,mode_01,ERKs Are Inactivated,,ERKs Are Inactivated,9,0.06,0.32744491915447627,-0.015479673477128081,0.015479673477128081,negative,757
1,mode_01,Signal Amplification,,Signal Amplification,2,0.013333333333333334,0.10215803640865039,-0.003491965949077276,0.003491965949077276,negative,1427
1,mode_01,IRAK4 Deficiency (TLR2 4),,IRAK4 Deficiency (TLR2 4),4,0.02666666666666667,0.17738945318599736,-0.006708111702884657,0.006708111702884657,negative,1224
1,mode_01,Activation of Gene Expression by SREBF (SREBP),,Activation of Gene Expression by SREBF (SREBP),14,0.09333333333333334,0.4474992550368635,-0.026817789383566985,0.026817789383566985,negative,380
1,mode_01,MITF-M-dependent Gene Expression,,MITF-M-dependent Gene Expression,19,0.12666666666666668,0.5482251174503202,-0.03363289065182526,0.03363289065182526,negative,269
1,mode_01,Mitotic Metaphase and Anaphase,,Mitotic Metaphase and Anaphase,47,0.31333333333333335,0.8969838216377446,-0.05818325929105886,0.05818325929105886,negative,51
1,mode_01,Elastic Fibre Formation,,Elastic Fibre Formation,3,0.02,0.14144054254182067,-0.0024972841717991827,0.0024972841717991827,negative,1519
1,mode_01,CTNNB1 S45 Mutants Aren'T Phosphorylated,,CTNNB1 S45 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.02408809837527799,0.02408809837527799,negative,425
1,mode_01,RHO GTPase Effectors,,RHO GTPase Effectors,30,0.2,0.7219280948873623,-0.03639431262946785,0.03639431262946785,negative,240
1,mode_01,Processing of SMDT1,,Processing of SMDT1,1,0.006666666666666667,0.05777796017013378,-0.0031023095940423766,0.0031023095940423766,negative,1458
1,mode_01,Interleukin-1 Signaling,,Interleukin-1 Signaling,19,0.12666666666666668,0.5482251174503202,-0.028416063901708474,0.028416063901708474,negative,360
1,mode_01,IGF1R Signaling Cascade,,IGF1R Signaling Cascade,21,0.14,0.584238811642856,-0.01823540958528625,0.01823540958528625,negative,608
