axis,axis_name,selection,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
1,mode_01,top_positive,Activation of Matrix Metalloproteinases,,Activation of Matrix Metalloproteinases,1,0.006666666666666667,0.05777796017013378,-0.0002066807311511347,0.0002066807311511347,negative,1665
1,mode_01,top_positive,Peroxisomal Lipid Metabolism,,Peroxisomal Lipid Metabolism,1,0.006666666666666667,0.05777796017013378,-0.0005834016405888623,0.0005834016405888623,negative,1664
1,mode_01,top_positive,Chylomicron Remodeling,,Chylomicron Remodeling,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1663
1,mode_01,top_positive,Histidine Catabolism,,Histidine Catabolism,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1661
1,mode_01,top_positive,Plasma Lipoprotein Remodeling,,Plasma Lipoprotein Remodeling,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1659
1,mode_01,top_positive,Chylomicron Clearance,,Chylomicron Clearance,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1658
1,mode_01,top_positive,Scavenging by Class B Receptors,,Scavenging by Class B Receptors,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1657
1,mode_01,top_positive,Plasma Lipoprotein Clearance,,Plasma Lipoprotein Clearance,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1656
1,mode_01,top_positive,LDL Clearance,,LDL Clearance,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1655
1,mode_01,top_positive,HDL Remodeling,,HDL Remodeling,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1662
1,mode_01,top_positive,TBC RABGAPs,,TBC RABGAPs,1,0.006666666666666667,0.05777796017013378,-0.0007176696663490437,0.0007176696663490437,negative,1660
1,mode_01,top_positive,Trafficking of AMPA Receptors,,Trafficking of AMPA Receptors,1,0.006666666666666667,0.05777796017013378,-0.0008399962519099208,0.0008399962519099208,negative,1654
1,mode_01,top_positive,"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity",,"Glutamate Binding, Activation of AMPA Receptors and Synaptic Plasticity",1,0.006666666666666667,0.05777796017013378,-0.0008399962519099208,0.0008399962519099208,negative,1653
1,mode_01,top_positive,Other Semaphorin Interactions,,Other Semaphorin Interactions,1,0.006666666666666667,0.05777796017013378,-0.001217803127757562,0.001217803127757562,negative,1650
1,mode_01,top_positive,Laminin Interactions,,Laminin Interactions,1,0.006666666666666667,0.05777796017013378,-0.001217803127757562,0.001217803127757562,negative,1652
1,mode_01,top_positive,Fibronectin Matrix Formation,,Fibronectin Matrix Formation,1,0.006666666666666667,0.05777796017013378,-0.001217803127757562,0.001217803127757562,negative,1651
1,mode_01,top_positive,TNFR1-mediated Ceramide Production,,TNFR1-mediated Ceramide Production,1,0.006666666666666667,0.05777796017013378,-0.001217803127757562,0.001217803127757562,negative,1649
1,mode_01,top_positive,Neurotoxicity of Clostridium Toxins,,Neurotoxicity of Clostridium Toxins,1,0.006666666666666667,0.05777796017013378,-0.0012251746676584024,0.0012251746676584024,negative,1646
1,mode_01,top_positive,Cristae Formation,,Cristae Formation,1,0.006666666666666667,0.05777796017013378,-0.0012251746676584024,0.0012251746676584024,negative,1647
1,mode_01,top_positive,Toxicity of Botulinum Toxin Type B (botB),,Toxicity of Botulinum Toxin Type B (botB),1,0.006666666666666667,0.05777796017013378,-0.0012251746676584024,0.0012251746676584024,negative,1645
1,mode_01,top_negative,SUMO E3 Ligases SUMOylate Target Proteins,,SUMO E3 Ligases SUMOylate Target Proteins,84,0.56,0.9895875212220556,-0.0855788041491825,0.0855788041491825,negative,1
