gene,mode_01
SRSF2,-0.1714978687761321
RARA,-0.5128745244416713
SMC3,-0.5105637247193507
DEK,-0.41877391571160333
TET2,-0.323202483853916
PML,-0.5925037950073304
TP53,-0.3952457517583903
SMC1A,-0.5289972851063603
FLT3,-0.30355973726617524
RUNX1,-0.5226395843213504
IDH1,-0.2055155535848187
SF3B1,-0.30195887927169335
WT1,-0.0845513136556995
NRAS,-0.26749886050739335
KMT2A,-0.5481474882321706
BCL2,-0.24817009895850684
IDH2,-0.04710535075088156
EZH2,-0.47466048521753085
ZRSR2,-0.12593510007022057
RAD21,-0.4297558191625058
KRAS,-0.32397145313440945
DNMT3A,-0.486922840225237
ASXL1,-0.3954486179690311
U2AF1,-0.1727413929526335
GATA2,-0.1391777991552693
CEBPA,-0.636550935443452
NUP214,-0.3018707039013549
KIT,-0.3167009760342854
PTPN11,-0.32916503756784626
STAG2,-0.37312042707900717
MECOM,-0.49952878128946027
NPM1,-0.17336166927821542
WAPL,-0.3894964497957344
SMC1B,-0.48283685494592243
CDCA5,-0.36831471707839236
SGO1,-0.32761256203591305
REC8,-0.33201603430013604
MXD4,-0.24957798585865554
STAG3,-0.5056338795388515
NIPBL,-0.45685249741315076
SPI1,-0.5434939502374847
GPR31,-0.3183781295591627
STAG1,-0.14259112262128895
NXF2,-0.3047971571696146
CARNMT1,-0.06002403901046589
ELF4,-0.4853418274424098
KRTAP10-3,-0.024476522112636515
AIRE,-0.32427689199176185
ZNF513,-0.31096691845348023
SLA,-0.3309920777498751
ZRSR1,-0.13202435933557882
SRRM1,-0.20010513740418595
ANKRD11,-0.3873658738242377
CIRSR,-0.08367587307468727
ZNF207,-0.6332738869368435
U2AF1L4,-0.15291343567983515
USP37,-0.5301392865322071
FMO3,-0.1957719281867953
ADAR,-0.33141424909403233
SH2B3,-0.3006245952367065
SSU72,-0.25851423595374107
SOCS1,-0.3609679616853775
PAF1,-0.39938388399031394
USP13,-0.3317952116116088
TEC,-0.3640499443770669
RGPD2,-0.22179986295657844
WAPAL,-0.3760762625747216
KAT6A,-0.45014341557909915
HLF,-0.3485508432928163
HRK,-0.23657382588854264
BNIPL,-0.27866738767262084
GRB10,-0.3614251943226598
MED1,-0.44925750198232267
NUP93,-0.31185625714765913
PDS5B,-0.21425303512332772
CBL,-0.40881171421252177
OVCA2,-0.32100153233250783
PDS5A,-0.32179364535958316
RBM15,-0.36082979667634596
TFEC,-0.11107423570428238
C19ORF43,-0.28001561193245406
ZFPM1,-0.18184332298599992
RADIL,-0.2714943616247514
HIST1H3A,-0.4341791970640179
ZRSR2P1,-0.13027557792281189
PIK3CG,-0.28965125764787414
IRX4,-0.3509339052527892
CITED1,-0.450442323743381
GPATCH11,-0.12526833874358184
PPP4R3A,-0.1473151146985325
SUV39H1,-0.4074265051005784
KITLG,-0.22885787806908828
PECAM1,-0.1798608260952524
HIST1H4A,-0.42663365410231374
AVEN,-0.26945306169527267
MAU2,-0.29622838275674485
PAWR,-0.08890428018443211
MATK,-0.2967835436235805
RGL2,-0.21470819649641787
CDK1,-0.6241345327859328
BCOR,-0.5283689511325468
CELA1,-0.05918165022700211
CSN1S1,-0.009739773400009108
CBX7,-0.466643537395157
ZBTB5,-0.3488444743262521
PCGF5,-0.4729059002538004
HAO2,-0.02167880628722162
KDM2B,-0.5239843667718814
ZBTB7A,-0.5478789797268647
PCGF1,-0.4520506041325893
PCGF3,-0.4014899479611236
L3MBTL1,-0.392498528992569
CARD8,-0.29802859549513216
NACC1,-0.245068612259456
PCGF2,-0.37283252916343795
HSPA12A,-0.12001777422369238
MLLT1,-0.3020243818948605
ERP44,-0.10353124372635435
NFIC,-0.4214814589728944
SNAPC4,-0.11039619258724444
MLLT3,-0.17262650269052707
QPRT,-0.30553166510518176
KPNA4,-0.3663553146599521
NFIA,-0.46558308433279333
CBX4,-0.5050029995931496
NFIX,-0.5404074470106506
SHARPIN,-0.1497114570781798
RING1,-0.4396424238878524
C6ORF141,-0.12923535779789339
YAF2,-0.42215519555088943
PPP4R1L,-0.28255834827518983
RNF2,-0.5690317097929425
BCL6,-0.43375989592033526
NAA10,-0.03703452289958132
DCAF7,-0.4471947125784665
RYBP,-0.42004749483663306
CBX8,-0.34375934875220227
PIP,-0.32158633650532253
NCAPH2,-0.14268268289886782
B4GALT2,-0.24829995361270732
SP1,-0.6167448818533328
CTBP1,-0.5649169132556838
CDC16,-0.28094685684879545
CBX3,-0.5816429764582169
BRAF,-0.41905131740202234
CCDC96,-0.1953561801061461
CBX6,-0.21346204997038085
SKP1,-0.3866503399158575
S100P,-0.19345963441499903
USP7,-0.37698480873065293
