gene,subspace_axis_1,subspace_axis_2,cluster_id
SRSF2,-0.1714978687761321,0.0,81
RARA,-0.5128745244416713,0.0,0
SMC3,-0.5105637247193507,0.0,1
DEK,-0.4187739157116033,0.0,60
TET2,-0.323202483853916,0.0,108
PML,-0.5925037950073304,0.0,20
TP53,-0.3952457517583903,0.0,39
SMC1A,-0.5289972851063603,0.0,8
FLT3,-0.3035597372661752,0.0,117
RUNX1,-0.5226395843213504,0.0,5
IDH1,-0.2055155535848187,0.0,87
SF3B1,-0.3019588792716933,0.0,121
WT1,-0.0845513136556995,0.0,33
NRAS,-0.2674988605073933,0.0,130
KMT2A,-0.5481474882321706,0.0,10
BCL2,-0.2481700989585068,0.0,126
IDH2,-0.0471053507508815,0.0,33
EZH2,-0.4746604852175308,0.0,79
ZRSR2,-0.1259351000702205,0.0,30
RAD21,-0.4297558191625058,0.0,63
KRAS,-0.3239714531344094,0.0,105
DNMT3A,-0.486922840225237,0.0,68
ASXL1,-0.3954486179690311,0.0,40
U2AF1,-0.1727413929526335,0.0,83
GATA2,-0.1391777991552693,0.0,26
CEBPA,-0.636550935443452,0.0,14
NUP214,-0.3018707039013549,0.0,122
KIT,-0.3167009760342854,0.0,97
PTPN11,-0.3291650375678462,0.0,99
STAG2,-0.3731204270790071,0.0,48
MECOM,-0.4995287812894602,0.0,2
NPM1,-0.1733616692782154,0.0,84
WAPL,-0.3894964497957344,0.0,42
SMC1B,-0.4828368549459224,0.0,69
CDCA5,-0.3683147170783923,0.0,56
SGO1,-0.327612562035913,0.0,104
REC8,-0.332016034300136,0.0,100
MXD4,-0.2495779858586555,0.0,125
STAG3,-0.5056338795388515,0.0,3
NIPBL,-0.4568524974131507,0.0,71
SPI1,-0.5434939502374847,0.0,12
GPR31,-0.3183781295591627,0.0,98
STAG1,-0.1425911226212889,0.0,27
NXF2,-0.3047971571696146,0.0,118
CARNMT1,-0.0600240390104658,0.0,33
ELF4,-0.4853418274424098,0.0,70
KRTAP10-3,-0.0244765221126365,0.0,33
AIRE,-0.3242768919917618,0.0,106
ZNF513,-0.3109669184534802,0.0,111
SLA,-0.3309920777498751,0.0,102
ZRSR1,-0.1320243593355788,0.0,31
SRRM1,-0.2001051374041859,0.0,88
ANKRD11,-0.3873658738242377,0.0,41
CIRSR,-0.0836758730746872,0.0,33
ZNF207,-0.6332738869368435,0.0,15
U2AF1L4,-0.1529134356798351,0.0,23
USP37,-0.5301392865322071,0.0,7
FMO3,-0.1957719281867953,0.0,90
ADAR,-0.3314142490940323,0.0,103
SH2B3,-0.3006245952367065,0.0,120
SSU72,-0.258514235953741,0.0,128
SOCS1,-0.3609679616853775,0.0,54
PAF1,-0.3993838839903139,0.0,34
USP13,-0.3317952116116088,0.0,101
TEC,-0.3640499443770669,0.0,52
RGPD2,-0.2217998629565784,0.0,95
WAPAL,-0.3760762625747216,0.0,50
KAT6A,-0.4501434155790991,0.0,73
HLF,-0.3485508432928163,0.0,46
HRK,-0.2365738258885426,0.0,123
BNIPL,-0.2786673876726208,0.0,134
GRB10,-0.3614251943226598,0.0,53
MED1,-0.4492575019823226,0.0,74
NUP93,-0.3118562571476591,0.0,112
PDS5B,-0.2142530351233277,0.0,93
CBL,-0.4088117142125217,0.0,36
OVCA2,-0.3210015323325078,0.0,107
PDS5A,-0.3217936453595831,0.0,109
RBM15,-0.3608297966763459,0.0,55
TFEC,-0.1110742357042823,0.0,22
C19ORF43,-0.280015611932454,0.0,135
