gene,tree_distance_axis_1,tree_distance_axis_2,cluster_id
SRSF2,0.17363052584808744,-0.08682193806369615,81
RARA,-0.19798889027793906,-0.07782855427735888,0
SMC3,-0.1973877460690588,-0.07746700258505636,1
DEK,0.0136425120254814,0.11909063959341074,60
TET2,-0.002846146722444568,-0.0495063228481584,108
PML,-0.14813277103400047,-0.16363938455324326,20
TP53,0.14893405865773424,0.06434566452204615,39
SMC1A,-0.18464059081081985,-0.10528465191972362,8
FLT3,0.08369523393595718,-0.1498287871816,117
RUNX1,-0.1860391244396392,-0.1040752144204634,5
IDH1,0.18006465884362993,-0.061982361718591235,87
SF3B1,0.08048218797657782,-0.15045688934309523,121
WT1,-0.20116739725184168,0.054822836517200546,33
NRAS,0.017790843197801623,-0.17593680314588386,130
KMT2A,-0.18683272669570453,-0.09562084544230634,10
BCL2,0.0032044102630124772,-0.1585258845616168,126
IDH2,-0.17915974646054092,0.05034133087977469,33
EZH2,0.030177869093760235,0.17694464727925294,79
ZRSR2,-0.14137081550297162,0.15210310762615134,30
RAD21,0.0008322898991484495,0.13364795126368792,63
KRAS,-0.0021604425715278505,-0.05255444285021025,105
DNMT3A,0.049165353569622025,0.17265951854956976,68
ASXL1,0.15021944362867423,0.06485563692636866,40
U2AF1,0.17436111272701688,-0.08593211980920007,83
GATA2,-0.14900174431098953,0.14659419745496818,26
CEBPA,-0.13624594586075894,-0.17871193174943054,14
NUP214,0.08047967455423234,-0.15043893230509744,122
KIT,0.01268194843407077,-0.05211339640803853,97
PTPN11,-0.01247242536603438,-0.0529725466198516,99
STAG2,0.13484388939201036,0.12586420729331163,48
MECOM,-0.19416328344848854,-0.07944104216438384,2
NPM1,0.1742384261591463,-0.08600307735568948,84
WAPL,0.1524129581222778,0.06279417021244695,42
SMC1B,0.04967061482448097,0.17445927581232226,69
CDCA5,0.12768922218816892,0.1139632974696959,56
SGO1,-0.002575581671472588,-0.05252231314371245,104
REC8,-0.01206344518551922,-0.05393258931805086,100
MXD4,0.0027864122422575554,-0.15995026714950858,125
STAG3,-0.19705013122929832,-0.08141571571231873,3
NIPBL,0.01892498161810995,0.17952851837933956,71
SPI1,-0.18878053170000653,-0.09690642412938652,12
GPR31,-0.012873761721544082,-0.0675388477103477,98
STAG1,-0.14786258036789698,0.1452387102721376,27
NXF2,0.08373468401822672,-0.15000180202477692,118
CARNMT1,-0.18194560210555127,0.05837108412903484,33
ELF4,0.04977933787130878,0.17502122860333394,70
KRTAP10-3,-0.17747383366921318,0.05275100015075731,33
AIRE,-0.0021236420514494847,-0.052534464642116405,106
ZNF513,0.07166864023176972,-0.13593289251749102,111
SLA,-0.012194950440128798,-0.054111783767970774,102
ZRSR1,-0.14283917188795797,0.15163444323159792,31
SRRM1,0.1865172442035162,-0.05906753869398839,88
ANKRD11,0.14782260573634157,0.06226077800735816,41
CIRSR,-0.20113248686932061,0.05435366172860795,33
ZNF207,-0.13647954251723338,-0.17871455137298584,15
U2AF1L4,-0.14391549038358065,0.13432555803432272,23
USP37,-0.18433435535580514,-0.10510331765976345,7
FMO3,0.18514871528223836,-0.06033834424063653,90
ADAR,-0.012258188718890924,-0.05395345866119067,103
SH2B3,0.08044608598199086,-0.15086442688664875,120
SSU72,0.021080987600546518,-0.16938621484970184,128
SOCS1,0.13111407120550986,0.11395600931596415,54
PAF1,0.17168297423291565,0.06958879143474103,34
USP13,-0.01201939568953628,-0.05406087422450666,101
TEC,0.1309365355361898,0.1132478147593903,52
RGPD2,0.180846158576961,-0.04822967148957352,95
WAPAL,0.1365573957062304,0.12585147833991656,50
KAT6A,0.015186111592523838,0.17888526674940533,73
HLF,0.15670080834133376,0.11155687845169963,46
HRK,0.008681847400095014,-0.153473803170514,123
BNIPL,0.030040015208944483,-0.17398809008639562,134
GRB10,0.13115075042964056,0.11386308796269107,53
MED1,0.015333252044000024,0.17892538846378309,74
NUP93,0.07335556808506918,-0.13471266843993351,112
PDS5B,0.17411508914986465,-0.050389244190086696,93
CBL,0.17186929155721775,0.07332071459484808,36
OVCA2,-0.004185701781184352,-0.049571983197916454,107
PDS5A,-0.0031724217006929554,-0.04931441621638033,109
RBM15,0.13109835950432114,0.11396932167966936,55
TFEC,-0.15742903123579902,0.12885868926884106,22
C19ORF43,0.030320209747121907,-0.17482768612866442,135
ZFPM1,0.1691592476333791,-0.08375894636029424,85
RADIL,0.017518973757595434,-0.17689232513530545,129
HIST1H3A,-0.00048758973575391783,0.1271419356435437,66
ZRSR2P1,-0.14258410634538007,0.15231475996553684,32
PIK3CG,0.03435711607691761,-0.1791185617482401,132
IRX4,0.15668540317224922,0.11290977949813065,45
CITED1,0.014946283687640364,0.180187918105009,75
GPATCH11,-0.14140568414951674,0.15182786944679924,30
PPP4R3A,-0.1415987565948785,0.13563235429427364,24
SUV39H1,0.17043872893480802,0.07361458695907448,37
KITLG,0.16838219489098677,-0.054837970119909804,96
PECAM1,0.16929686038414085,-0.08271227770930227,86
HIST1H4A,-0.001147865656488833,0.1331346854882782,64
AVEN,0.017501182923191947,-0.17616547696921403,131
MAU2,0.08413369866947364,-0.15704888971074132,114
PAWR,-0.2011958454441937,0.057375114301679506,33
MATK,0.08399362334564033,-0.15715331582278902,115
RGL2,0.174021519164014,-0.05043896163667721,94
CDK1,-0.13534961462154446,-0.17966677389305682,16
BCOR,-0.18475362564960932,-0.10533109426469865,9
CELA1,-0.1739020643220026,0.05636511426651169,33
CSN1S1,-0.1800243305585992,0.055389475340052244,33
CBX7,0.030560448840866103,0.18219043426505796,77
ZBTB5,0.1566966476415297,0.11148857095650985,47
PCGF5,0.02997920896114153,0.176572480451236,80
HAO2,-0.17789271738637574,0.05304942453073118,33
KDM2B,-0.18643675005216195,-0.10428544359479637,6
ZBTB7A,-0.18673063115994698,-0.09559273042664813,11
PCGF1,0.014470940122309303,0.1798422750408451,76
PCGF3,0.1714454574426841,0.06894794911146318,35
L3MBTL1,0.15168869782078118,0.06238818764233563,43
CARD8,0.08217978466862222,-0.15783941007875862,113
NACC1,0.001567091143859696,-0.16142633481152935,124
PCGF2,0.13503783735090943,0.12619623276263245,49
HSPA12A,-0.1420321849887489,0.14832604250250978,29
MLLT1,0.08073956597263539,-0.15167920956770395,119
ERP44,-0.1592007951200387,0.13050702290591656,22
NFIC,0.011810023009020506,0.1169341116061835,58
SNAPC4,-0.1575482720764202,0.128938612924991,22
MLLT3,0.1745670469272585,-0.08633514775668982,82
QPRT,0.08316481689681579,-0.14891745762700492,116
KPNA4,0.1279284038470322,0.1119818931812524,57
NFIA,0.030693472904875466,0.18224030238030667,78
CBX4,-0.1979533574002552,-0.08166877764441005,4
NFIX,-0.18622094685330506,-0.09676423596018692,13
SHARPIN,-0.13289407226304742,0.1531804766312213,25
RING1,0.0020627979748206217,0.12943386438147322,65
C6ORF141,-0.1426731843409033,0.15216791173937538,32
YAF2,0.011878421362797483,0.11684835067037505,59
PPP4R1L,0.029116145779249817,-0.17753292248332272,133
RNF2,-0.15278559509086406,-0.15843667373764542,18
BCL6,-0.0006800860114613852,0.12785625639368856,67
NAA10,-0.17822440631941827,0.05187215177173427,33
DCAF7,0.016541196095724277,0.1813006706732726,72
RYBP,0.013647923059220269,0.11837059641709176,61
CBX8,0.12248432529901972,0.09100402027752579,44
PIP,-0.003140172725423224,-0.049331825931464277,110
NCAPH2,-0.14784215102396792,0.14524671979595793,28
B4GALT2,0.0035454034581283165,-0.15834932061800913,127
SP1,-0.13573917828454046,-0.17961443520614712,17
CTBP1,-0.20660680592166034,-0.04956227425263183,19
CDC16,0.03007826363275631,-0.1755613246671535,136
CBX3,-0.1504001671597335,-0.16476354230083207,21
BRAF,0.01384681408406063,0.11851942173839683,62
CCDC96,0.18511858465980066,-0.06043472578851325,91
CBX6,0.17300853658142587,-0.051010270000715646,92
SKP1,0.15796157022736992,0.0640239961291904,38
S100P,0.18587268508242974,-0.060401387285277594,89
USP7,0.13652829042876155,0.12530108690912037,51
