run_id,specificity_aware_rank,display_rank,weighting,block_name,status,assignment_source,organized_subspace_dir,radial_tree_clusters_png,radial_tree_clusters_compact_png,full_space_embedding_clusters_png,full_space_embedding_cluster_coordinates,subspace_embedding_clusters_png,subspace_embedding_cluster_coordinates,tree_distance_embedding_clusters_png,tree_distance_embedding_cluster_coordinates,cluster_id,cluster_size,recorded_cluster_size,coherent_by_rule,n_significant_terms_q05,min_q_value,top_term,top_go_id,top_term_prevalence_delta,mean_within_tfidf_cosine,local_top_terms,local_top_go_ids,representative_genes,representative_gene_proteins,representative_gene_annotations
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,0,6,6,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0069444444444444,0.0201092651118357,Formation of the Cornified Envelope;Pperoxisome;Organelle Biogenesis and Maintenance;Peroxisomal Lipid Metabolism,;;;,IDH2;HAO2;CELA1;KRTAP10-3;CSN1S1;NAA10,IDH2;HAO2;CELA1;KRTAP10-3;CSN1S1;NAA10,"IDH2: Formation of the Cornified Envelope; Pperoxisome; Organelle Biogenesis and Maintenance | HAO2: Pperoxisome; Peroxisomal Lipid Metabolism | CELA1: Organelle Biogenesis and Maintenance | KRTAP10-3: Formation of the Cornified Envelope | CSN1S1: Extracellular Matrix Organization; Activation of Matrix Metalloproteinases; Transport of Small Molecules | NAA10: Signaling by Rho GTPases, Miro GTPases and RHOBTB3; WNT5 FZD7-mediated Leishmania Damping; RHO GTPase Cycle"
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,1,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,Cell Junction Organization;Depolymerization of the Nuclear Lamina;MECP2 Regulates Transcription Factors;Cell-cell Junction Organization,;;;,SP1,SP1,SP1: Cell Junction Organization; Depolymerization of the Nuclear Lamina; MECP2 Regulates Transcription Factors
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,2,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,POLB-Dependent Long Patch Base Excision Repair;Scavenging by Class A Receptors;RNA Polymerase I Promoter Escape;Inhibition of DNA Recombination at Telomere,;;;,CBX3,CBX3,CBX3: POLB-Dependent Long Patch Base Excision Repair; Scavenging by Class A Receptors; RNA Polymerase I Promoter Escape
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,3,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,PIWI-interacting RNA (piRNA) Biogenesis;FGFR2 Mutant Receptor Activation;Signaling by FGFR2 IIIa TM;RNA Pol II CTD Phosphorylation and Interaction With CE During HIV Infection,;;;,CEBPA,CEBPA,CEBPA: PIWI-interacting RNA (piRNA) Biogenesis; FGFR2 Mutant Receptor Activation; Signaling by FGFR2 IIIa TM
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,4,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,Response of Mtb to Phagocytosis;Amyloid Fiber Formation;BBSome-mediated Cargo-Targeting to Cilium;Cargo Trafficking to the Periciliary Membrane,;;;,ZNF207,ZNF207,ZNF207: Response of Mtb to Phagocytosis; Amyloid Fiber Formation; BBSome-mediated Cargo-Targeting to Cilium
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,5,1,1,False,0,0.9154639175257732,ERKs Are Inactivated,,0.9463087248322148,,Somitogenesis;RHO GTPases Activate NADPH Oxidases;CASP8 Activity Is Inhibited;FasL CD95L Signaling,;;;,PML,PML,PML: Somitogenesis; RHO GTPases Activate NADPH Oxidases; CASP8 Activity Is Inhibited
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,6,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,Processing of SMDT1;Interconversion of Nucleotide Di- and Triphosphates;ABC Transporter Disorders;ABC-family Proteins Mediated Transport,;;;,RNF2,RNF2,RNF2: Processing of SMDT1; Interconversion of Nucleotide Di- and Triphosphates; ABC Transporter Disorders
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,7,1,1,False,0,0.8358433734939759,ERKs Are Inactivated,,0.9463087248322148,,Regulation of Gene Expression in Beta Cells;TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway;RHOBTB3 ATPase Cycle;Depolymerization of the Nuclear Lamina,;;;,CDK1,CDK1,CDK1: Regulation of Gene Expression in Beta Cells; TNF Receptor Superfamily (TNFSF) Members Mediating Non-Canonical NF-kB Pathway; RHOBTB3 ATPase Cycle
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,8,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,Suppression of Apoptosis;RUNX1 Regulates Transcription of Genes Involved in WNT Signaling;Notch Signaling;Regulation of Homotypic Cell-Cell Adhesion,;;;,CTBP1,CTBP1,CTBP1: Suppression of Apoptosis; RUNX1 Regulates Transcription of Genes Involved in WNT Signaling; Notch Signaling
current__adaptive_diffusion_cosine_subspace__binary__adaptive_common_mode_01,12,12,binary,adaptive_common_mode_01,ok,accepted_tbs,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/radial_tree_clusters_compact.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/full_space_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/subspace_embedding_cluster_coordinates.csv,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_clusters.png,results/analyses/aml_michel_reactome_msigdb_go_annotation_pipeline_20260623_151556/10_current_adaptive_diffusion_subspace_tree/systematic_subspace_gene_annotations/subspaces/rank12_binary_adaptive_common_mode_01/tree_distance_embedding_cluster_coordinates.csv,9,1,1,False,0,1.0,O2 CO2 Exchange in Erythrocytes,,-0.0067114093959731,,NCAM1 Interactions;Assembly of Collagen Fibrils and Other Multimeric Structures;Muscle Contraction;HDR Through MMEJ (alt-NHEJ),;;;,MECOM,MECOM,MECOM: NCAM1 Interactions; Assembly of Collagen Fibrils and Other Multimeric Structures; Muscle Contraction
