axis,axis_name,go_term,go_id,column,support,prevalence,entropy_bits,loading,abs_loading,loading_sign,abs_rank
1,mode_01,O2 CO2 Exchange in Erythrocytes,,O2 CO2 Exchange in Erythrocytes,1,0.006666666666666667,0.05777796017013378,-0.0014432072506677168,0.0014432072506677168,negative,1489
1,mode_01,Aryl Hydrocarbon Receptor Signalling,,Aryl Hydrocarbon Receptor Signalling,3,0.02,0.14144054254182067,-0.0020856249802855,0.0020856249802855,negative,1397
1,mode_01,SHC-mediated Cascade FGFR3,,SHC-mediated Cascade FGFR3,15,0.1,0.4689955935892812,-0.008980741200385852,0.008980741200385852,negative,831
1,mode_01,Miro GTPase Cycle,,Miro GTPase Cycle,2,0.013333333333333334,0.10215803640865039,-0.0018348593628523039,0.0018348593628523039,negative,1437
1,mode_01,ERKs Are Inactivated,,ERKs Are Inactivated,9,0.06,0.32744491915447627,-0.010301322322400478,0.010301322322400478,negative,757
1,mode_01,Signal Amplification,,Signal Amplification,2,0.013333333333333334,0.10215803640865039,-0.0018704925948963664,0.0018704925948963664,negative,1433
1,mode_01,IRAK4 Deficiency (TLR2 4),,IRAK4 Deficiency (TLR2 4),4,0.02666666666666667,0.17738945318599736,-0.0037957332934288805,0.0037957332934288805,negative,1225
1,mode_01,Activation of Gene Expression by SREBF (SREBP),,Activation of Gene Expression by SREBF (SREBP),14,0.09333333333333334,0.4474992550368635,-0.01970205323410441,0.01970205323410441,negative,405
1,mode_01,MITF-M-dependent Gene Expression,,MITF-M-dependent Gene Expression,19,0.12666666666666668,0.5482251174503202,-0.026769801370308897,0.026769801370308897,negative,293
1,mode_01,Mitotic Metaphase and Anaphase,,Mitotic Metaphase and Anaphase,47,0.31333333333333335,0.8969838216377446,-0.06963391350122712,0.06963391350122712,negative,44
1,mode_01,Elastic Fibre Formation,,Elastic Fibre Formation,3,0.02,0.14144054254182067,-0.0012695367290219534,0.0012695367290219534,negative,1543
1,mode_01,CTNNB1 S45 Mutants Aren'T Phosphorylated,,CTNNB1 S45 Mutants Aren'T Phosphorylated,12,0.08,0.4021791902022728,-0.016688195754807074,0.016688195754807074,negative,454
1,mode_01,RHO GTPase Effectors,,RHO GTPase Effectors,30,0.2,0.7219280948873623,-0.03399815691632502,0.03399815691632502,negative,184
1,mode_01,Processing of SMDT1,,Processing of SMDT1,1,0.006666666666666667,0.05777796017013378,-0.0014296637908785012,0.0014296637908785012,negative,1492
1,mode_01,Interleukin-1 Signaling,,Interleukin-1 Signaling,19,0.12666666666666668,0.5482251174503202,-0.02349663141193682,0.02349663141193682,negative,334
1,mode_01,IGF1R Signaling Cascade,,IGF1R Signaling Cascade,21,0.14,0.584238811642856,-0.012700873828563278,0.012700873828563278,negative,605
1,mode_01,Signaling by ALK in Cancer,,Signaling by ALK in Cancer,43,0.2866666666666667,0.8643763438484613,-0.051463687394951795,0.051463687394951795,negative,87
1,mode_01,Nonhomologous End-Joining (NHEJ),,Nonhomologous End-Joining (NHEJ),11,0.07333333333333333,0.37824164440536223,-0.016333388245648815,0.016333388245648815,negative,477
1,mode_01,Cellular Responses to Stress,,Cellular Responses to Stress,81,0.54,0.9953784388202257,-0.12388094087783326,0.12388094087783326,negative,5
