gene,cluster_id,cluster_size
SRSF2,41,1
RARA,13,1
SMC3,23,2
DEK,86,1
TET2,91,1
PML,5,1
TP53,67,1
SMC1A,17,1
FLT3,37,2
RUNX1,14,1
IDH1,44,1
SF3B1,110,1
WT1,31,3
NRAS,42,1
KMT2A,11,2
BCL2,62,1
IDH2,0,6
EZH2,18,1
ZRSR2,26,3
RAD21,70,2
KRAS,54,1
DNMT3A,15,1
ASXL1,79,1
U2AF1,40,3
GATA2,25,2
CEBPA,3,1
NUP214,102,2
KIT,66,2
PTPN11,63,1
STAG2,93,2
MECOM,9,1
NPM1,65,1
WAPL,98,1
SMC1B,87,1
CDCA5,107,1
SGO1,92,1
REC8,96,2
MXD4,103,3
STAG3,23,2
NIPBL,72,1
SPI1,10,1
GPR31,60,1
STAG1,58,2
NXF2,104,1
CARNMT1,24,3
ELF4,20,1
KRTAP10-3,0,6
AIRE,101,4
ZNF513,97,3
SLA,56,1
ZRSR1,31,3
SRRM1,47,1
ANKRD11,81,2
CIRSR,24,3
ZNF207,4,1
U2AF1L4,40,3
USP37,19,1
FMO3,28,1
ADAR,101,4
SH2B3,37,2
SSU72,106,1
SOCS1,55,1
PAF1,78,2
USP13,100,2
TEC,51,1
RGPD2,58,2
WAPAL,93,2
KAT6A,88,1
HLF,101,4
HRK,36,1
BNIPL,52,1
GRB10,49,1
MED1,75,1
NUP93,101,4
PDS5B,61,1
CBL,108,1
OVCA2,66,2
PDS5A,103,3
RBM15,96,2
TFEC,26,3
C19ORF43,57,2
ZFPM1,43,1
RADIL,38,1
HIST1H3A,78,2
ZRSR2P1,31,3
PIK3CG,45,1
IRX4,94,1
CITED1,83,1
GPATCH11,30,2
PPP4R3A,32,1
SUV39H1,81,2
KITLG,25,2
PECAM1,35,2
HIST1H4A,68,1
AVEN,53,1
MAU2,109,1
PAWR,24,3
MATK,48,1
RGL2,33,1
CDK1,7,1
BCOR,11,2
CELA1,0,6
CSN1S1,0,6
CBX7,22,1
ZBTB5,100,2
PCGF5,21,1
HAO2,0,6
KDM2B,16,2
ZBTB7A,12,2
PCGF1,77,1
PCGF3,84,1
L3MBTL1,70,2
CARD8,105,1
NACC1,59,1
PCGF2,73,1
HSPA12A,30,2
MLLT1,90,1
ERP44,26,3
NFIC,69,1
SNAPC4,27,1
MLLT3,46,1
QPRT,102,2
KPNA4,97,3
NFIA,82,1
CBX4,16,2
NFIX,12,2
SHARPIN,29,1
RING1,89,1
C6ORF141,35,2
YAF2,76,1
PPP4R1L,57,2
RNF2,6,1
BCL6,71,1
NAA10,0,6
DCAF7,85,1
RYBP,80,1
CBX8,97,3
PIP,111,1
NCAPH2,34,1
B4GALT2,64,1
SP1,1,1
CTBP1,8,1
CDC16,50,1
CBX3,2,1
BRAF,95,1
CCDC96,39,1
CBX6,103,3
SKP1,99,1
S100P,40,3
USP7,74,1
