gene,subspace_axis_1,subspace_axis_2,cluster_id
SRSF2,-0.2424440576827374,0.0,41
RARA,-0.6092553484656708,0.0,13
SMC3,-0.5879263760904196,0.0,23
DEK,-0.5512139213313528,0.0,86
TET2,-0.4341346665676331,0.0,91
PML,-0.6705130008585384,0.0,5
TP53,-0.4917390529884058,0.0,67
SMC1A,-0.6120259516428959,0.0,17
FLT3,-0.2677565842246195,0.0,37
RUNX1,-0.6158091871210772,0.0,14
IDH1,-0.2473922725183265,0.0,44
SF3B1,-0.3723423808943978,0.0,110
WT1,-0.1821955109508444,0.0,31
NRAS,-0.2433551363210199,0.0,42
KMT2A,-0.6365435913868314,0.0,11
BCL2,-0.3061596613555308,0.0,62
IDH2,-0.0388893433912113,0.0,0
EZH2,-0.6119064129201998,0.0,18
ZRSR2,-0.1393682041473642,0.0,26
RAD21,-0.500256023789979,0.0,70
KRAS,-0.3228873082285483,0.0,54
DNMT3A,-0.6159358230997983,0.0,15
ASXL1,-0.5384946840188692,0.0,79
U2AF1,-0.2226724138784673,0.0,40
GATA2,-0.1983420453881845,0.0,25
CEBPA,-0.7113804738421721,0.0,3
NUP214,-0.3892545145381111,0.0,102
KIT,-0.2928261595520146,0.0,66
PTPN11,-0.3069809839394787,0.0,63
STAG2,-0.4377819680370897,0.0,93
MECOM,-0.6273475763904002,0.0,9
NPM1,-0.289521341021948,0.0,65
WAPL,-0.4682833479738805,0.0,98
SMC1B,-0.5506242693472302,0.0,87
CDCA5,-0.3994819916734463,0.0,107
SGO1,-0.4335249318640715,0.0,92
REC8,-0.4496204909522284,0.0,96
MXD4,-0.3962298185882268,0.0,103
STAG3,-0.5862900524781786,0.0,23
NIPBL,-0.51961274504216,0.0,72
SPI1,-0.6299716009393536,0.0,10
GPR31,-0.3072774225899503,0.0,60
STAG1,-0.2845319496215361,0.0,58
NXF2,-0.3984613207181296,0.0,104
CARNMT1,-0.1048287564302242,0.0,24
ELF4,-0.593806648560034,0.0,20
KRTAP10-3,-0.0467520384115931,0.0,0
AIRE,-0.421475892800341,0.0,101
ZNF513,-0.4766313302126202,0.0,97
SLA,-0.3379724802873484,0.0,56
ZRSR1,-0.1764680811213168,0.0,31
SRRM1,-0.2539902313853815,0.0,47
ANKRD11,-0.5346723547908169,0.0,81
CIRSR,-0.0973235611460509,0.0,24
ZNF207,-0.7072729574424096,0.0,4
U2AF1L4,-0.2230656979170632,0.0,40
