gene,tree_distance_axis_1,tree_distance_axis_2,cluster_id
SRSF2,0.02792530944613841,-0.17815755729185906,41
RARA,-0.20157504305980975,0.017810778888195846,13
SMC3,-0.19009951309592382,0.0331507021439779,23
DEK,0.015118887111295823,0.18191111103504284,86
TET2,0.033616651567293154,0.012003868268336746,91
PML,-0.17374663089719283,0.1267654244319151,5
TP53,-0.056863603504223134,0.16378158810389737,67
SMC1A,-0.1991721892502068,0.017153847514892896,17
FLT3,0.01909875182339389,-0.19171429384993083,37
RUNX1,-0.19773362492554258,0.017313092576623335,14
IDH1,0.028134662768506607,-0.17922899654026309,44
SF3B1,0.12987417220078512,0.08356099606969845,110
WT1,-0.12768140763059,-0.14086647094346194,31
NRAS,0.028005915352994796,-0.17812900326272527,42
KMT2A,-0.20502795150102865,0.04906038629338448,11
BCL2,0.1664305175549372,-0.09237226996134879,62
IDH2,0.2788485190745716,0.1682268928419691,0
EZH2,-0.19946001194330903,0.01737162160241919,18
ZRSR2,-0.14183455627027275,-0.1396079831962595,26
RAD21,-0.0541263313541736,0.15481245588753603,70
KRAS,0.13134583949736905,-0.12253686774508424,54
DNMT3A,-0.19777942305200025,0.017177114623804314,15
ASXL1,0.016533158662979195,0.17029619919397396,79
U2AF1,0.035285348953051694,-0.18969334075823566,40
GATA2,-0.10545732852398429,-0.17689509770194112,25
CEBPA,-0.17662338847769066,0.12047176544445033,3
NUP214,0.14302966705802728,0.05830890506594671,102
KIT,0.1643487211991026,-0.10146145381428252,66
PTPN11,0.16584537233118948,-0.09266425918031854,63
STAG2,0.03116543609854104,0.011778536396806328,93
MECOM,-0.20395671441043947,-0.0029639229818128935,9
NPM1,0.16256831570206995,-0.10051704831108292,65
WAPL,-0.0034591172906955053,0.017990242832110533,98
SMC1B,0.015149043732544457,0.1819771924999106,87
CDCA5,0.14282853466275106,0.06359482427149951,107
SGO1,0.033737366881652554,0.011971942682917116,92
REC8,0.028385073455681455,0.02295020581261929,96
MXD4,0.1448989838739874,0.062409630320580056,103
STAG3,-0.19026589560476975,0.03337073697062612,23
NIPBL,-0.01601704819293114,0.18221202398134914,72
SPI1,-0.200239439612251,0.051320177332448404,10
GPR31,0.16668438581913275,-0.09313196075209587,60
STAG1,0.14890898988451812,-0.09545827239742259,58
NXF2,0.14222947758461515,0.06252760682828089,104
CARNMT1,-0.15017110900843114,-0.11239067157169537,24
ELF4,-0.19478079844723006,0.03476566419072297,20
KRTAP10-3,0.2814740928391756,0.16381308771399436,0
AIRE,0.15448936178301478,0.039256454599372145,101
ZNF513,-0.0005806504603602651,0.004842712256972365,97
SLA,0.13156425834820298,-0.1320906611874603,56
ZRSR1,-0.12759600630020412,-0.1419880242422215,31
SRRM1,0.03241348429388905,-0.17870169269502711,47
ANKRD11,0.018699218709419464,0.17133097132730743,81
CIRSR,-0.15582669179767128,-0.11575942622187266,24
ZNF207,-0.17651439013019796,0.1208781072642408,4
U2AF1L4,0.03523255871979284,-0.18971207813082724,40
USP37,-0.1939286077529176,0.03508421970768761,19
FMO3,-0.125769206511666,-0.15130562335980005,28
ADAR,0.15649794221939847,0.040325468342002485,101
SH2B3,0.01860550730826319,-0.19116297990785452,37
SSU72,0.1423304782640581,0.06345345269055729,106
SOCS1,0.13102826745129498,-0.12219604045151293,55
PAF1,0.01119518245004495,0.1695503372693761,78
USP13,-0.004070412449562412,0.01297186462870764,100
TEC,0.1450821538044264,-0.13106781517866128,51
RGPD2,0.14904001788869248,-0.0944144297028015,58
WAPAL,0.03413982760093079,0.014468124958849384,93
KAT6A,0.014291516439637867,0.18216695131490698,88
HLF,0.13284042955314707,0.09610156262268134,101
HRK,0.016148062827477973,-0.18694688235623697,36
BNIPL,0.14541289776533,-0.1307780301481474,52
GRB10,0.14357644002869896,-0.13433580135100925,49
MED1,-0.01584915283147664,0.17381541795994568,75
NUP93,0.12886638565758915,0.09669060988719833,101
PDS5B,0.16664830770740752,-0.09315443000640844,61
CBL,0.14282891517502058,0.06364266720706663,108
OVCA2,0.1648714888134053,-0.10151105909165686,66
PDS5A,0.14467297511382216,0.06177717673103643,103
RBM15,0.030207254380267463,0.02308855657144808,96
TFEC,-0.1407679169550916,-0.13675626404281097,26
C19ORF43,0.13075548394948688,-0.13056326609827212,57
ZFPM1,0.0278379170408218,-0.17913165818497803,43
RADIL,0.03808580822697519,-0.18778788940379207,38
HIST1H3A,0.01197139640654064,0.1692971510279201,78
ZRSR2P1,-0.12760247689388246,-0.14108997224029174,31
PIK3CG,0.028146461218016634,-0.17915997192506566,45
IRX4,0.02865339134441565,0.025444183034180317,94
CITED1,0.010421065637760454,0.1806396405111715,83
GPATCH11,-0.12972612133740533,-0.1501315215161546,30
PPP4R3A,-0.12205295611136711,-0.14278214560189814,32
SUV39H1,0.01902527603593484,0.17154301689438853,81
KITLG,-0.10605806041104486,-0.17707174268773615,25
PECAM1,-0.12338522612862257,-0.1399259014571311,35
HIST1H4A,-0.057279132302393475,0.1668611561790988,68
AVEN,0.1296981760961786,-0.12306530529849999,53
MAU2,0.12606762081203554,0.08160701496061747,109
PAWR,-0.09581051494588602,-0.163761357064999,24
MATK,0.03216468458222091,-0.17936996245444392,48
