sample_id,cluster_id,cluster_root,cluster_size
S1,0,N282,37
S100,0,N282,37
S103,0,N282,37
S105,0,N282,37
S106,0,N282,37
S107,0,N282,37
S127,0,N282,37
S128,0,N282,37
S129,0,N282,37
S130,0,N282,37
S131,0,N282,37
S132,0,N282,37
S133,0,N282,37
S2,0,N282,37
S20,0,N282,37
S21,0,N282,37
S22,0,N282,37
S23,0,N282,37
S24,0,N282,37
S43,0,N282,37
S44,0,N282,37
S45,0,N282,37
S46,0,N282,37
S47,0,N282,37
S48,0,N282,37
S49,0,N282,37
S61,0,N282,37
S62,0,N282,37
S63,0,N282,37
S64,0,N282,37
S65,0,N282,37
S85,0,N282,37
S86,0,N282,37
S87,0,N282,37
S88,0,N282,37
S89,0,N282,37
S90,0,N282,37
S0,1,N286,38
S101,1,N286,38
S102,1,N286,38
S108,1,N286,38
S109,1,N286,38
S110,1,N286,38
S111,1,N286,38
S112,1,N286,38
S113,1,N286,38
S134,1,N286,38
S135,1,N286,38
S136,1,N286,38
S137,1,N286,38
S138,1,N286,38
S25,1,N286,38
S26,1,N286,38
S27,1,N286,38
S28,1,N286,38
S29,1,N286,38
S3,1,N286,38
S30,1,N286,38
S31,1,N286,38
S4,1,N286,38
S5,1,N286,38
S6,1,N286,38
S66,1,N286,38
S67,1,N286,38
S68,1,N286,38
S69,1,N286,38
S70,1,N286,38
S71,1,N286,38
S72,1,N286,38
S91,1,N286,38
S92,1,N286,38
S93,1,N286,38
S94,1,N286,38
S95,1,N286,38
S96,1,N286,38
S10,2,N291,37
S11,2,N291,37
S114,2,N291,37
S115,2,N291,37
S116,2,N291,37
S117,2,N291,37
S118,2,N291,37
S119,2,N291,37
S120,2,N291,37
S139,2,N291,37
S140,2,N291,37
S141,2,N291,37
S142,2,N291,37
S143,2,N291,37
S144,2,N291,37
S32,2,N291,37
S33,2,N291,37
S34,2,N291,37
S35,2,N291,37
S36,2,N291,37
S51,2,N291,37
S53,2,N291,37
S54,2,N291,37
S56,2,N291,37
S7,2,N291,37
S73,2,N291,37
S74,2,N291,37
S75,2,N291,37
S76,2,N291,37
S77,2,N291,37
S78,2,N291,37
S79,2,N291,37
S8,2,N291,37
S9,2,N291,37
S97,2,N291,37
S98,2,N291,37
S99,2,N291,37
S104,3,N295,38
S12,3,N295,38
S121,3,N295,38
S122,3,N295,38
S123,3,N295,38
S124,3,N295,38
S125,3,N295,38
S126,3,N295,38
S13,3,N295,38
S14,3,N295,38
S145,3,N295,38
S146,3,N295,38
S147,3,N295,38
S148,3,N295,38
S149,3,N295,38
S15,3,N295,38
S16,3,N295,38
S17,3,N295,38
S18,3,N295,38
S19,3,N295,38
S37,3,N295,38
S38,3,N295,38
S39,3,N295,38
S40,3,N295,38
S41,3,N295,38
S42,3,N295,38
S50,3,N295,38
S52,3,N295,38
S55,3,N295,38
S57,3,N295,38
S58,3,N295,38
S59,3,N295,38
S60,3,N295,38
S80,3,N295,38
S81,3,N295,38
S82,3,N295,38
S83,3,N295,38
S84,3,N295,38
